HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF(4/8)_ORCA,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI_ORCA,CASSCF(4/10),MRCI,MRCI+Q Davidson,MRCI+Q Davidson relaxed,MRCI+Q Pople,MRCI+Q Pople relaxed,ACPF,AQCC,CASSCF(8/10)
-24.459914163866497,-24.527024698432594,-24.57211169699354,-24.620202171879704,-24.590691046284757,-24.634462010788557,-24.598241458812502,-24.639263615207277,-24.596650681629608,-24.64149658512387,-24.60331241986251,-24.646578568843577,-24.604618854,-24.648310541,-24.610547750204223,-24.656398646101945,-24.604647495,-24.647759879,-24.61051994581633,-24.65518706804577,-24.53756018207104,-24.605549246584,-24.604106440317,-24.6046186579,-24.61170893796,-24.526776564429,-24.567614955596,-24.56860599,-24.56855786,-24.5681104,-24.56808634,-24.56808855813,-24.567769967146,-24.542538603704
-25.628168996578,-25.693828820179814,-25.73935564268544,-25.785704556705294,-25.75827351185576,-25.80026799222527,-25.766061500182808,-25.80529059205029,-25.764228957932477,-25.807159990878823,-25.771133781178712,-25.81206186033368,-25.772587861,-25.81393109,-25.77897322867676,-25.821809164184845,-25.772623531,-25.813383635,-25.778939591458208,-25.8205841509716,-25.71921413827041,-25.774941815902,-25.775540144318,-25.775834327445,-25.780963247301,-25.695514655902,-25.739991007925,-25.74377007,-25.74127595,-25.74187714,-25.74063335,-25.74063791231,-25.740201634048,-25.714145360136
,,,,,,,,,,,,,,,,,,,,,,,,,-26.508846752021,-26.550721682389,-26.55210547,-26.55190344,-26.55141339,-26.55131244,-26.551315905955,-26.550915373711,-26.524752320868
-26.502860016467743,-27.06726156874235,-26.638501656786136,-27.157208197299447,-26.92746245050185,-27.17239754006292,,-27.17789529597546,-27.014492711605264,-27.179156090315292,-26.70152908410745,-27.18374910239685,,-27.185916201,,-27.19351611933883,,-27.18538353,,-27.19227121159421,-27.075261244718163,-27.156475640079,-27.148913388034,-27.149790237484,-27.160306205126,-27.079426096642,-27.121358531901,-27.12281154,-27.1225868,-27.12208482,-27.12197254,-27.121976221523,-27.121559709126,-27.095502402431
-26.949571905000607,-27.460156885721517,-27.075394629413942,-27.547329077119286,-27.16255701272923,-27.560936997748605,-27.568871885287912,-27.564972709735684,-27.425991061426497,-27.562981800362383,-27.1461009500618,-27.564192535285585,,-27.565393874,,-27.567527222463877,,-27.565476473,,-27.567577827689323,-27.483462808166266,-27.564368788823,-27.556399924607,-27.557286625126,-27.568336482488,-27.488744142455,-27.530574753292,-27.53206928,-27.53183272,-27.53132178,-27.53120359,-27.531207422636,-27.530780690718,-27.505063207123
-27.284272720233524,-27.758492945758007,-27.407225595122544,-27.844820576908734,-27.46457247783412,-27.858674430930215,-27.606173038375513,-27.862871734523463,-27.458700763094367,-27.860909110630203,-27.47798669760415,-27.86214533270209,,-27.863427223,,-27.86565033244112,,-27.863509955,,-27.865686304184862,-27.78250213755095,-27.862911353281,-27.854587440581,-27.855464426116,-27.866930787365,-27.78875860953,-27.830333522594,-27.83184021,-27.83160458,-27.83108662,-27.8309689,-27.830972780787,-27.830541532895,-27.805313326516
-27.542406154026143,-27.98185058867065,-27.664079598327056,-28.067289742127276,-27.71102406013429,-28.081365627915492,-27.787125367505467,-28.08571680682049,-27.71442861827057,-28.08381433562131,-27.732790855493644,-28.085096422548904,,-28.086471281,,-28.08878505398448,,-28.086547256,,-28.088801625875256,-28.00701465723244,-28.086675841628,-28.07804325532,-28.078896332665,-28.090726390496,-28.014108633187,-28.055280857281,-28.05677015,-28.05654908,-28.05602526,-28.05591482,-28.055918682348,-28.055488373225,-28.030836507393
-27.74810786109532,-28.153513370256327,-27.86918924153538,-28.23797708384194,-27.910973527602337,-28.252243518852207,-27.96171879878201,-28.25673764272544,-27.917602412775583,-28.25494851128372,-27.934914520164263,-28.256285793062016,-27.939436516,-28.257839575,-27.9607155228268,-28.26027825879603,-27.941109108,-28.257918616,-27.962424706810264,-28.26026912929059,-28.180276440582254,-28.258901632693,-28.250018874889,-28.250840300172,-28.263000766052,-28.188062547568,-28.228717130045,-28.2301641,-28.22996974,-28.22944038,-28.22934329,-28.229347048164,-28.228922083317,-28.204858787648
-27.91790295995848,-28.289213828148142,-28.03872259363844,-28.372625908229328,-28.077317529011594,-28.38705086020924,-28.11546759027817,-28.391678701752408,-28.084606997921394,-28.3900857136326,-28.100726910152392,-28.39145916786325,-28.105211021,-28.393412489,-28.124649774123576,-28.396070438920365,-28.10696516,-28.393513522,-28.12638254840495,-28.39604817147469,-28.3180128066397,-28.395321036247,-28.386226522728,-28.387025252088,-28.399423796785,-28.32632201194,-28.366410189615,-28.36780024,-28.36764055,-28.36710501,-28.36702522,-28.367028853956,-28.366611484933,-28.343041612215
-28.06298267128556,-28.420279773364832,-28.183631273929542,-28.50350823747541,-28.219910790741594,-28.51983696290456,-28.250702407443903,-28.52629158419991,-28.226515954075214,-28.526800731246404,-28.241430174377808,-28.530168918333647,-28.245839601,-28.532963972,-28.263672771463163,-28.539821654186603,-28.247646416,-28.532553622,-28.265385663502485,-28.538673419820345,-28.430852659449734,-28.506602223942,-28.497370439505,-28.498147709666,-28.510832571195,-28.439480347853,-28.479047225029,-28.4803813,-28.48025754,-28.47971407,-28.47965224,-28.479655753043,-28.479245252496,-28.455936931928
-28.19059711628653,-28.516070890790328,-28.310972118773776,-28.59779615553166,-28.3453890883229,-28.61407475897139,-28.371401333399117,-28.62050810469789,-28.3505365237846,-28.62088617168543,-28.36437794882441,-28.62394823956227,-28.36868076,-28.626683906,-28.38531784828615,-28.633242299309124,-28.370525354,-28.626321021,-28.387004371787107,-28.632186157563208,-28.5346274520414,-28.600650795565,-28.593427414283,-28.59364542413,-28.60479989559,-28.534628127501,-28.573814090636,-28.57510932,-28.57501577,-28.57446153,-28.57441479,-28.574418320156,-28.574010700846,-28.550602811753
-28.305025133806215,-28.598778202602343,-28.42489102440735,-28.679094096831744,-28.45775076102881,-28.69526014060511,-28.48046864668233,-28.701621984559257,-28.460994207827017,-28.701790919295394,-28.47406295579328,-28.704540749033672,-28.478311613,-28.707153474,-28.494349160526,-28.71334719758672,-28.480170923,-28.706847794,-28.495971884125115,-28.71241511873725,-28.616427209647725,-28.680937722545,-28.67383191015,-28.674068852672,-28.685039183764,-28.616427466518,-28.655434045836,-28.65671827,-28.65664472,-28.65607598,-28.65603924,-28.656042947847,-28.655632094827,-28.631695417997
-28.408463822587713,-28.671194055298656,-28.527536728233198,-28.750301796410447,-28.5590980569124,-28.76631712463244,-28.579486091880344,-28.772574994350332,-28.56011832436572,-28.77246066614143,-28.57289933411272,-28.77491697489848,-28.57712723,-28.777362698,-28.593211198947895,-28.78316215494664,-28.578952258,-28.777124531,-28.594698249895742,-28.782371130018884,-28.687861461463548,-28.751124677333,-28.744073873418,-28.744342664415,-28.755164801789,-28.688055590656,-28.726932193262,-28.72823289,-28.72816457,-28.72758236,-28.72754823,-28.727552262851,-28.727133757345,-28.702230216439
