PBE0,wB97M-V,wB97M-D4rev,wB97X-V,wB97X-D4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97M-V,PBE,TPSS,BLYP,VWN3
-24.6502788399416737,-24.6965174564596843,-24.7310428068550401,-24.6858260454967819,-24.7203575490582530,-24.7071305879039365,-24.7133409725168569,-24.7127813131276106,-24.7167743729325800,-24.7256382374132393,-24.6772726658831125,-24.6737629263958773,-24.6733064390610615,-24.6730677668677565,-24.7389583902807466,-24.6441032804525726,-24.7316450509453922,-24.7196838749018859,-24.4833712516299293
-25.8137067753868159,-25.8599034032727850,-25.8943666051909922,-25.8502773210062102,-25.8847480768177682,-25.8693561733813731,-25.8752431187190801,-25.8758180340921875,-25.8796023876484291,-25.8880304277635780,-25.8398872932055603,-25.8385406717617094,-25.8381773242772290,-25.8379955303559292,-25.9069355174668559,-25.8070265097247251,-25.8937434444557972,-25.8814784986406856,-25.6401292269190471
-26.6171968379251389,-26.6632718048170823,-26.6976787779113884,-26.6546561463677101,-26.6890718817810573,-26.6721344421796225,-26.6772720147028117,-26.6786712984401113,-26.6819797531746055,-26.6899258517140119,-26.6421902862791775,-26.6425747917214899,-26.6422079543201598,-26.6420205818084561,-26.7128703832438639,-26.6101461526691132,-26.6953174424194764,-26.6833670978323489,-26.4389319808208647
-27.1821992361342275,-27.2280113208707881,-27.2623691267807793,-27.2205749691898085,-27.2549429892267874,-27.2375490012327184,-27.2407116145636969,-27.2427020195566634,-27.2457431652361031,-27.2532420659823948,-27.2065314589746485,-27.2082086367337546,-27.2078932234002160,-27.2077385927023307,-27.2793228205655680,-27.1749007557198858,-27.2583364105311183,-27.2467057713507721,-27.0000950445019150
-27.5872017782237613,-27.6330570283060801,-27.6673728580958773,-27.6266400661093137,-27.6609679276870004,-27.6428373295343484,-27.6446039710198086,-27.6468854716311476,-27.6492031450804738,-27.6563197417969526,-27.6109297749971923,-27.6135980658058138,-27.6134299640523331,-27.6133720013612738,-27.6847811509393402,-27.5798618644374294,-27.6611601136206708,-27.6506910850178720,-27.4017641580107671
-27.8841786951978889,-27.9300429447945753,-27.9643255979160728,-27.9247368666307025,-27.9590333537016740,-27.9400946680105555,-27.9404500645102836,-27.9428830899675624,-27.9449176902608194,-27.9517675182251928,-27.9071339703184655,-27.9106151540647964,-27.9105820444608845,-27.9106136114196950,-27.9817726497621848,-27.8768905635562696,-27.9564298355195113,-27.9467050763808125,-27.6953945020693162
-28.1073944313819766,-28.1532909707361654,-28.1875478565061499,-28.1491488753021244,-28.1834215777430970,-28.1634344832547043,-28.1624902924776848,-28.1650740922534837,-28.1673764216971847,-28.1740387345530365,-28.1295507759547689,-28.1337294578528798,-28.1337853167805676,-28.1338748981014675,-28.2049095584352933,-28.1001084564330625,-28.1785750380466737,-28.1688746811645956,-27.9152770965492323
-27.9123097079648659,-28.3258521497709985,-28.3600896071699609,-28.3229258188181419,-28.3571814221620926,-28.3360389526265735,-28.3338585914848196,-28.3366555597654184,-28.3396225848755350,-28.3461409420983657,-28.3014845688337786,-28.3062477581268226,-28.3063532033466885,-28.3064967488627275,-28.3773201368321217,-28.2725609080406812,-28.3505793205107253,-28.3402871160318739,-28.0845682882513898
-28.0845401330630366,-28.4633844235658842,-28.4976091208656896,-28.4616420172986224,-28.4958871020856250,-28.4733597367220455,-28.4702910653211418,-28.4733563378763321,-28.4771227054442946,-28.4835160751645446,-28.4384922149349890,-28.4437331829208127,-28.4438937107422163,-28.4440447118047075,-28.5147689680737848,-28.4098468969466751,-28.4878718183916888,-28.4766747245610503,-28.2190201309392563
-28.2324279709248529,-28.2808055895166781,-28.3148533177522737,-28.2746682328451797,-28.3087460868362690,-28.2950649538298897,-28.2776416605051502,-28.2789718587747352,-28.2926141770541228,-28.3001395186497042,-28.2457056909443871,-28.2542426408952814,-28.5568994260983651,-28.5570544942285416,-28.6277882120798175,-28.5227061553531591,-28.3052813092393514,-28.5886371320114172,-28.0222910931503755
