occ1,ene1,occ2,ene2,20,02
1.9917,-0.908544,0.0083,1.66448,0.997933956,0.064248115
1.9918,-0.888072,0.0082,1.608977,0.997942021,0.064122712
1.9918,-0.862123,0.0082,1.539814,0.997951594,0.063973552
1.9919,-0.834125,0.0081,1.466982,0.997960987,0.063826868
1.9919,-0.805898,0.0081,1.395358,0.997969747,0.063689744
1.9919,-0.778393,0.0081,1.327116,0.997977928,0.063561429
1.9934,-0.749503,0.0066,1.371504,0.998336338,0.057658969
1.9921,-0.724196,0.0079,1.243376,0.998033928,0.062675978
1.9907,-0.700314,0.0093,1.125459,0.997674385,0.068160263
1.989,-0.67784,0.011,1.017751,0.99724982,0.074113405
1.987,-0.656709,0.013,0.919843,0.996751167,0.0805426
1.9847,-0.636837,0.0153,0.831085,0.996168182,0.087458292
1.982,-0.618133,0.018,0.750702,0.995489422,0.094872605
1.9789,-0.600499,0.0211,0.677909,0.994702006,0.102800388
1.9752,-0.583844,0.0248,0.611946,0.993791624,0.111257398
1.9711,-0.568076,0.0289,0.552119,0.99274248,0.12025959
1.9663,-0.553112,0.0337,0.49777,0.991537208,0.129822825
1.9608,-0.53887,0.0392,0.448314,0.990156771,0.139962744
1.9546,-0.525277,0.0454,0.403219,0.988580731,0.150692198
1.9475,-0.512263,0.0525,0.36201,0.986787194,0.162021707
1.9395,-0.499765,0.0605,0.324264,0.98475312,0.173957731
1.9304,-0.487722,0.0696,0.289599,0.982454326,0.186503343
1.9203,-0.47608,0.0797,0.257693,0.979866441,0.199654094
1.9089,-0.464791,0.0911,0.228242,0.976964945,0.213399852
1.8963,-0.453809,0.1037,0.20099,0.973726246,0.227721754
1.8823,-0.443096,0.1177,0.175707,0.970128461,0.242591776
1.8669,-0.432617,0.1331,0.152197,0.966151172,0.257976573
1.85,-0.422349,0.15,0.130265,0.961780061,0.273823145
1.8317,-0.412266,0.1683,0.109769,0.957002759,0.290078816
1.8119,-0.402353,0.1881,0.090577,0.951813907,0.306676192
1.7906,-0.3926,0.2094,0.072571,0.946214719,0.323539341
1.768,-0.383004,0.232,0.055652,0.94021398,0.340584309
1.7441,-0.373568,0.2559,0.039734,0.933828244,0.357721694
1.719,-0.3643,0.281,0.024744,0.927082257,0.374857959
1.6928,-0.35521,0.3072,0.010622,0.920008596,0.391898179
1.6658,-0.346315,0.3342,-0.002684,0.912646992,0.408748662
1.6382,-0.337633,0.3618,-0.01522,0.905043256,0.425319532
1.6101,-0.329182,0.3899,-0.027023,0.897247901,0.441527128
1.5818,-0.320984,0.4182,-0.038127,0.889314529,0.457296041
1.5534,-0.313055,0.4466,-0.048564,0.881298122,0.472560706
1.5251,-0.305413,0.4749,-0.058362,0.873253346,0.48726645
1.4973,-0.298073,0.5027,-0.067548,0.865232989,0.501369997
1.4699,-0.291045,0.5301,-0.07615,0.857286611,0.514839457
1.4432,-0.284339,0.5568,-0.084193,0.849459478,0.527653859
1.4172,-0.277958,0.5828,-0.091704,0.841791807,0.539802328
1.3922,-0.271905,0.6078,-0.098709,0.834318306,0.551283017
1.3681,-0.266178,0.6319,-0.105235,0.827067998,0.562101883
1.345,-0.260773,0.655,-0.111309,0.820064286,0.572271409
1.323,-0.255683,0.677,-0.116954,0.8133252,0.58180935
1.3021,-0.250899,0.6979,-0.122198,0.806863775,0.590737546
1.2822,-0.246413,0.7178,-0.127066,0.800688532,0.599080859
1.2634,-0.242211,0.7366,-0.13158,0.794803991,0.606866226
1.2457,-0.238283,0.7543,-0.135764,0.789211211,0.614121865
1.229,-0.234614,0.771,-0.139641,0.78390831,0.620876608
1.2133,-0.231192,0.7867,-0.143231,0.778890966,0.62715936
1.1986,-0.228004,0.8014,-0.146555,0.774152875,0.632998678
1.1848,-0.225036,0.8152,-0.149632,0.769686165,0.638422437
1.1719,-0.222276,0.8281,-0.152478,0.765481762,0.643457591
1.1599,-0.21971,0.8401,-0.155112,0.761529714,0.648129998
1.1486,-0.217326,0.8514,-0.157548,0.75781946,0.652464303
1.1381,-0.215114,0.8619,-0.159802,0.754340064,0.656483867
1.1282,-0.21306,0.8718,-0.161886,0.751080409,0.660210739
1.1191,-0.211156,0.8809,-0.163814,0.748029348,0.66366565
1.1106,-0.209389,0.8894,-0.165597,0.745175837,0.666868032
1.1026,-0.207752,0.8974,-0.167246,0.742509033,0.669836052
1.0953,-0.206235,0.9047,-0.168771,0.740018369,0.672586659
1.0884,-0.20483,0.9116,-0.170182,0.737693615,0.675135638
1.082,-0.203528,0.918,-0.171487,0.735524917,0.677497672
1.0761,-0.202322,0.9239,-0.172694,0.733502825,0.679686402
