HF,UHF,CASSCF,VB,cov,ion,CF,BOVB,MP2,UMP2,MP3,UMP3,MP4,UMP4,CID,UCID,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CCSDT,CCSDT_ORCA,CCSDT(Q),CCSDT[Q],CCSDTQ,CCSDT_nofc,CCSDT(Q)_nofc,CCSDT[Q]_nofc,CASPT2,SC-NEVPT2,FIC-NEVPT2,FIC-MRCISD,FIC-MRCISD+Q
436.8410907160677,436.8410907162856,436.83026470499954,440.837126331484,437.161659534782,435.275002360751,445.715396782991,,436.54348019878495,436.5434801987628,436.5284910393793,436.5284910391736,436.5211111677494,436.52111116755054,436.54150308057314,436.54150308044376,436.5404429190573,436.54044291889153,436.5285415617524,436.52854156186174,436.527376779,436.527376772,436.52067617998574,436.520676170798,436.527148525,436.527148532,436.5205982034839,436.52059821163954,,,,,,,,,436.542226660512,436.600793715122,436.561531281009,436.53806115,436.52307548
42.12518183733954,42.12518183733516,42.11873978239965,44.597829930276,40.905845670026,45.386243960188,45.634581338014,40.495794893116,41.80514804623454,41.805148046247815,41.79237757993168,41.79237757995495,41.78350202728577,41.78350202730934,41.805994185373486,41.805994185384506,41.80441472577844,41.80441472578966,41.791540349090496,41.79154035006638,41.789612675,41.789612678,41.7826265259388,41.78262652869792,41.789281661,41.789281663,41.78250632822168,41.78250632797399,,41.78236507381578,,,,,,,41.81335720524,41.876950167295,41.838447559427,41.81119192,41.79532789
-75.35423678316215,-75.35423678321149,-75.36212744245846,-75.477067568509,-75.623557708136,-75.484155328486,-75.75069216019,-75.623585318559,-75.69318190033103,-75.69318190131098,-75.70691133150744,-75.70691133237798,-75.71837665852365,-75.71837665947857,-75.69105810829889,-75.69105810902161,-75.6931779883883,-75.693177988544,-75.70924726270106,-75.70924726936684,-75.712204206,-75.712204223,-75.72055793678793,-75.72055795331201,-75.712733975,-75.712733997,-75.7207658625532,-75.72076588015865,,,,,,,,,-75.692296102616,-75.623509997888,-75.669276115342,-75.69386544,-75.71349675
-124.91878735735474,-124.92977039362398,-124.9515104056502,-124.486502630383,-124.423997849974,-121.893162158529,-124.590441868657,-124.670489882697,-125.30080541627592,-125.29690813284206,-125.3185232729965,-125.31495103205512,-125.3377865800666,-125.330077772206,-125.29484498675887,-125.29510664000144,-125.29968428571,-125.29895702365728,-125.3242229642876,-125.31966751247565,-125.337450751,-125.335089971,-125.35378975964198,-125.35093974129276,-125.341817055,-125.3372997,-125.35464282449593,-125.35240639282988,,-125.35435573213331,,,,,,,-125.32456264158,-125.244794503536,-125.296245267028,-125.31782239,-125.34358667
-150.47019462214567,-150.50986300596853,-150.5402256474958,-147.099170012258,-147.032734880151,-147.025153011214,-149.750681347909,-149.359594058576,-150.89677365778624,-150.88151862705453,-150.9199673045497,-150.89959205893015,-150.93628134530113,-150.9122151243923,-150.88694016453528,-150.88250584850107,-150.88880184426142,-150.88656941505465,-150.92453111446068,-150.90441664336743,-150.927052028,-150.923949796,-150.94144954938469,-150.93881951016755,-150.927239007,-150.924063329,-150.94145571040508,-150.9384668003091,,,,,,,,,-150.91874538062,-150.855529764889,-150.884529665355,-150.91264927,-150.93323339
-165.8865827457608,-165.91154438105556,-165.9360488523132,-162.625769275221,-164.717257626143,-164.713131279359,-164.98586036253,-164.717257150389,-166.29975332884948,-166.28702174005437,-166.32146919826033,-166.30269647565262,-166.33549397019337,-166.31383963796935,-166.29237272365023,-166.28678638705406,-166.2938234596012,-166.28992842723002,-166.3265835719458,-166.3074258025137,-166.328430925,-166.325755642,-166.341899363619,-166.3381683649045,-166.328645048,-166.325002249,-166.34198064222872,-166.33747711219476,,-166.34329379379705,,,,,,,-166.310511050574,-166.254422212136,-166.278856607655,-166.3063952,-166.32753039
-175.71520374472544,-175.98271044708508,-175.85685277968403,-174.781859206429,-174.685833303391,-174.68059798887,-174.856863603557,-174.901205502155,-176.1708722095438,-176.35946598654553,-176.18158511807397,-176.369485529237,-176.2063085387281,-176.37870507226503,-176.15375009948497,-176.35610437445402,-176.1548731624081,-176.35832851972285,-176.18975775427367,-176.3720119656665,,-176.375186504,-176.18910554408632,-176.38391003215904,,-176.375905199,-176.18876865566995,-176.384174613564,,,,,,,,,-176.274602506865,-176.21596505953,-176.238110289225,-176.26615635,-176.29724483
-182.68152100084407,-182.7592598499116,-182.703296512981,-181.399111933531,-181.330049819473,-181.322175900202,-181.433610543022,-181.781946432016,-183.14263840210387,-183.16741765524267,-183.14383196494063,-183.17146076880056,-183.16036508754448,-183.18259858652567,-183.1207486531748,-183.1559580542227,-183.12172411694013,-183.1585944664863,-183.1529393272624,-183.1727196511368,-183.153837195,-183.177139037,-183.1714972095998,-183.18374292683083,-183.15398799,-183.178227378,-183.1715419122164,-183.1839546558504,-183.18149799453312,-183.1814915232336,-183.181554560632,-183.17914324910632,-183.18013164124827,-183.22461012072088,-183.22471975832457,-183.22228914379133,-183.148602792572,-183.085880111288,-183.106632999062,-183.12842521,-183.15386498
-187.43263548000087,-187.43404915215004,-187.4405788588224,-186.057989033059,-186.016912151616,-186.005576911502,-186.07239136437,-186.385175661038,-187.8995220192524,-187.89179053581515,-187.8968707885724,-187.8896615459492,-187.91101127394188,-187.90330406754737,-187.87569500668627,-187.8699649254318,-187.876550863434,-187.8716352212324,-187.90009804884133,-187.89246998510924,-187.901053076,-187.900120852,-187.9115342328055,-187.91038872093503,-187.901227903,-187.899969967,-187.9116060360012,-187.91046999633247,-187.91232152818253,,-187.9128419028189,-187.91243924635685,,-187.95289127659944,-187.9534255257384,-187.9530158094232,-187.894652211335,-187.840290295987,-187.856466362497,-187.8743879,-187.89784391
-190.71475410910352,-190.71475410914536,-190.7180229568993,-189.489487630318,-189.470543825293,-189.455273395792,-189.505206990573,-189.640007540939,-191.1849678588545,-191.18496785857457,-191.18157887848253,-191.18157887841303,-191.19475201178813,-191.1947520116736,-191.1610077534836,-191.16100775336807,-191.1618217746196,-191.16182177463327,-191.1837096688536,-191.1837096659428,-191.184641162,-191.184641154,-191.1937619364421,-191.193761917034,-191.184858971,-191.184858961,-191.19386649450288,-191.19386647609247,-191.19393274011253,-191.19392682650064,-191.19429648531607,-191.1940509649121,-191.1942708467689,-191.2325386203444,-191.2329152863205,-191.2326650714574,-191.115744786087,-191.063241375659,-191.082007420139,-191.10814243,-191.12757378
