HF,UHF,CASSCF,VB,cov,ion,CF,BOVB,MP2,UMP2,MP3,UMP3,MP4,UMP4,OMP2,UOMP2,CID,UCID,CISD,UCISD,QCISD,UQCISD,QCISD(T),UQCISD(T),CC2,UCC2,CC3,UCC3,BCCD,UBCCD,BCCD(T),UBCCD(T),CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),CCSDT_ORCA,CCSDT,CCSDT(Q),CCSDT[Q],CCSDTQ,CCSDT_nofc,CCSDT(Q)_nofc,CCSDT[Q]_nofc,FIC-CASPT2,FIC-CASPT2-K,SC-NEVPT2,FIC-NEVPT2,FIC-MRCISD,FIC-MRCISD+Q,BW-s2,UBW-s2,BW2,UBW2,xBW2,UxBW2,dRPA,UdRPA,BGE2,IEPA,CASSCF_molpro,(ic-)MR-CISD,MR-CISD+Q Davidson,MR-CISD+Q Davidson relaxed,MR-CISD+Q Pople,MR-CISD+Q Pople relaxed,MR-ACPF,MR-AQCC,MR-CEPA(0),CEPA/0,UCEPA/0,CEPA/1,UCEPA/1,CEPA/2,UCEPA/2,CEPA/3,UCEPA/3,NCEPA/1,UNCEPA/1,NCEPA/2,UNCEPA/2,NCEPA/3,UNCEPA/3,NCPF/1,UNCPF/1,ENCPF/2,UNCPF/2,ACPF,UACPF,NACPF,UNACPF,AQCC,UAQCC,HF_psi4,UHF_psi4,LCCD,ULCCD,OLCCD,UOLCCD,UODC-13,UODC-13(λ3),UODC-12,UODC-12(λ3),UDC-12
436.8410907160677,436.8410907162856,436.83026470499954,440.837126331484,437.161659534782,435.275002360751,445.715396782991,,436.54348019878495,436.5434801987628,436.5284910393793,436.5284910391736,436.5211111677494,436.52111116755054,,,436.54150308057314,436.54150308044376,436.5404429190573,436.54044291889153,436.527148525,436.527148532,436.5205982034839,436.52059821163954,,,,,,,,,436.5285415617524,436.52854156186174,436.527376779,436.527376772,436.52067617998574,436.520676170798,,,,,,,,,436.542226660512,436.542956722684,436.600793715122,436.561531281009,436.53806115,436.52307548,436.5464012913,436.5464012967,436.5575979633,436.557597965,436.5446050003,436.5457145996,436.4693799925,436.4693800176,436.5441736449,436.5441736449,436.829029740421,436.538594231346,436.52268496,436.52274094,436.52440808,436.52445998,436.520996559977,436.526466612474,436.5209966,436.5215379879787,436.5215379850952,436.52557158998127,436.52557130578714,436.5230468419834,436.52234101112384,436.5279812248653,436.52861104880947,436.52561575297057,436.52561549486984,436.5230628961376,436.5223410111415,436.5280476309322,436.5286869132124,436.5256173840932,436.5256174367129,436.5273715615818,436.5273715608584,436.52464453358726,436.5246445321103,436.52468165378264,436.5246816526637,436.5273715615818,436.5273715608584,,,,,,,,,,,
42.12518183733954,42.12518183733516,42.11873978239965,44.597829930276,40.905845670026,45.386243960188,45.634581338014,40.495794893116,41.80514804623454,41.805148046247815,41.79237757993168,41.79237757995495,41.78350202728577,41.78350202730934,41.80279542951953,41.80279560943128,41.805994185373486,41.805994185384506,41.80441472577844,41.80441472578966,41.789281661,41.789281663,41.78250632822168,41.78250632797399,41.803122450502855,41.803122451119066,41.78239139558553,41.78239139549722,41.789915478899786,41.78991547912376,41.782617507050475,41.78261750738408,41.791540349090496,41.79154035006638,41.789612675,41.789612678,41.7826265259388,41.78262652869792,41.78236507381578,,,,,,,,41.81335720524,41.776533950298,41.876950167295,41.838447559427,41.81119192,41.79532789,41.8079522375,41.8079522623,41.8201621125,41.820162136,41.806352392,41.8075378318,41.7282397153,41.7282396749,41.8057734495,41.8057734495,42.112985299089,41.802782546126,41.78557963,41.78566868,41.78743526,41.7875179,41.783277765624,41.789503398532,41.78327777,41.78381516197308,41.78381516494793,41.787831795585525,41.787831636057085,41.78523589264086,41.784619588723146,41.79030235813968,41.79084978746671,41.787913757379044,41.78791353383322,41.785265622952046,41.78461958872057,41.79042354691063,41.79098712213556,41.78791517779771,41.787915225396056,41.79029358842678,41.790293585920494,41.78728211919115,41.787282120723205,41.78736405142192,41.787364047363205,41.79029358842678,41.790293585920494,42.125183509028886,42.125183509031785,41.786365722923,41.78636573087316,41.78407165967197,41.78407183455626,41.73608511244112,41.72865879655047,41.73314032998173,41.72552532518387,41.73516250186805
-75.35423678316215,-75.35423678321149,-75.36212744245846,-75.477067568509,-75.623557708136,-75.484155328486,-75.75069216019,-75.623585318559,-75.69318190033103,-75.69318190131098,-75.70691133150744,-75.70691133237798,-75.71837665852365,-75.71837665947857,-75.6967095627228,-75.69670956272086,-75.69105810829889,-75.69105810902161,-75.6931779883883,-75.693177988544,-75.712733975,-75.712733997,-75.7207658625532,-75.72076588015865,-75.69620289340445,-75.69620289334348,-75.72090688027738,-75.72090688004057,-75.7117340086601,-75.71173400875493,-75.72055661575406,-75.72055661589465,-75.70924726270106,-75.70924726936684,-75.712204206,-75.712204223,-75.72055793678793,-75.72055795331201,,,,,,,,,-75.692296102616,-75.698070474366,-75.623509997888,-75.669276115342,-75.69386544,-75.71349675,-75.6900783401,-75.6900783436,-75.6756417546,-75.6756417578,-75.6917356489,-75.6903273355,-75.7719003774,-75.7719003709,-75.6924957096,-75.6924957096,-75.366243820905,-75.694822691877,-75.71590647,-75.71568574,-75.7137521,-75.71354473,-75.720293235822,-75.711484605499,-75.72029324,-75.71967905633252,-75.71967905533883,-75.71452740535838,-75.71452736750001,-75.71783698631438,-75.71859424353059,-75.7114388110492,-75.71080139649027,-75.71432892963072,-75.71432883838419,-75.71775497848078,-75.71859424352587,-75.71116876415209,-75.71050162558163,-75.71432846599319,-75.71432842495771,-75.71086454942585,-75.71086455480518,-75.7148868800177,-75.71488688421968,-75.71467456287299,-75.7146745602331,-75.71086454942585,-75.71086455480518,-75.3542358210171,-75.35423582101633,-75.715450130118,-75.71545007568531,-75.71909313682778,-75.719093136828,-75.76161006345798,-75.77057260528981,-75.76495452769528,-75.77415576595004,-75.76188428504747
-124.91878735735474,-124.92977039362398,-124.9515104056502,-124.486502630383,-124.423997849974,-121.893162158529,-124.590441868657,-124.670489882697,-125.30080541627592,-125.29690813284206,-125.3185232729965,-125.31495103205512,-125.3377865800666,-125.330077772206,-125.31250252263912,,-125.29484498675887,-125.29510664000144,-125.29968428571,-125.29895702365728,-125.341817055,-125.3372997,-125.35464282449593,-125.35240639282988,-125.31228480209111,,-125.35436993310168,,-125.33505355221932,,-125.35296744041976,,-125.3242229642876,-125.31966751247565,-125.337450751,-125.335089971,-125.35378975964198,-125.35093974129276,-125.35435573213331,,,,,,,,-125.32456264158,-125.327428770992,-125.244794503536,-125.296245267028,-125.31782239,-125.34358667,-125.2961144691,-125.293081153,-125.2752991248,-125.2754137661,-125.2985806809,-125.2933381443,-125.3779929127,-125.3810188584,-125.2996779136,-125.2996779136,-124.951462207887,-125.318315240738,-125.34727617,-125.34624683,-125.34459981,-125.34361346,-125.346788265621,-125.341303316638,,-125.49199106764011,-125.34486330266456,-125.36240550899468,-125.36497700009537,-125.42826129469977,-125.33919109435278,-125.34376788177264,-125.33455325680016,-125.34857794238296,-125.34359662196793,-125.38938990146293,-125.33919106847848,-125.33566040146968,-125.3280164876041,-125.3479115240922,-125.3426526005382,-125.3415407991679,-125.3341490325331,-125.3678756356933,-125.37700028333884,-125.35115264403352,-125.34436400148094,-125.3415407991679,-125.3341490325331,-124.91878675591099,,-125.339765136386,,-125.3603279290868,,,,,,
-150.47019462214567,-150.50986300596853,-150.5402256474958,-147.099170012258,-147.032734880151,-147.025153011214,-149.750681347909,-149.359594058576,-150.89677365778624,-150.88151862705453,-150.9199673045497,-150.89959205893015,-150.93628134530113,-150.9122151243923,-150.89955130566798,-150.8995513056547,-150.88694016453528,-150.88250584850107,-150.88880184426142,-150.88656941505465,-150.927239007,-150.924063329,-150.94145571040508,-150.9384668003091,-150.89975904832139,-150.89031934690985,-150.94137955661432,-150.939957344951,-150.9268082216231,-150.92680624679312,-150.94148586234425,-150.94148437845655,-150.92453111446068,-150.90441664336743,-150.927052028,-150.923949796,-150.94144954938469,-150.93881951016755,,,,,,,,,-150.91874538062,-150.915119970354,-150.855529764889,-150.884529665355,-150.91264927,-150.93323339,-150.8910865254,-150.8786601324,-150.866101406,-150.8638176949,-150.8939548386,-150.8786488397,-150.9830027419,-150.9762149218,-150.8950196924,-150.8950196924,-150.540222092184,-150.914118774837,-150.9369817,-150.93635277,-150.93460034,-150.93401249,-150.944160701095,-150.932274097354,-150.9441607,-150.9623814935054,-150.86767978518856,-150.93840246519989,-150.9483608176308,-150.94779680224647,-150.8740248316894,-150.93046549966832,-150.9243209543194,-150.93828321945315,-150.93373518317128,-150.94773178808967,-150.87402482887953,-150.93031077640305,-150.91685808869408,-150.93815211418115,-150.93265749528038,-150.92825823769067,-150.9178623622257,-150.94133171968548,-150.94391981332348,-150.94122352176066,-150.92867468547618,-150.92825823769067,-150.9178623622257,-150.47019418994398,-150.5098625746269,-150.958980486582,-150.91473361313336,-150.96267968520897,-150.96267968518868,,,,,
-165.8865827457608,-165.91154438105556,-165.9360488523132,-162.625769275221,-164.717257626143,-164.713131279359,-164.98586036253,-164.717257150389,-166.29975332884948,-166.28702174005437,-166.32146919826033,-166.30269647565262,-166.33549397019337,-166.31383963796935,-166.3016358460245,-166.30163584586742,-166.29237272365023,-166.28678638705406,-166.2938234596012,-166.28992842723002,-166.328645048,-166.325002249,-166.34198064222872,-166.33747711219476,-166.30183220042068,-166.2950528615957,-166.3426735796963,-166.34084092469104,-166.32819616272369,-166.32819223976423,-166.34190933403104,-166.34190639286905,-166.3265835719458,-166.3074258025137,-166.328430925,-166.325755642,-166.341899363619,-166.3381683649045,-166.34329379379705,,,,,,,,-166.310511050574,-166.307064106395,-166.254422212136,-166.278856607655,-166.3063952,-166.32753039,-166.295088157,-166.2846421655,-166.2727229158,-166.2703992584,-166.2973080056,-166.2845008748,-166.3877522215,-166.3841957756,-166.2983701557,-166.2983701557,-165.936046096519,-166.309679244293,-166.33307824,-166.33267286,-166.33066366,-166.3302838,-166.344770169996,-166.329859459945,-166.3447702,,,,,,,,,,,,,,,,,,,,,,,,,-165.88658241756315,-165.91154405136626,-166.35021605827,-166.31683960345185,-166.35289068420462,-166.35289068027743,,,,,
-175.71520374472544,-175.98271044708508,-175.85685277968403,-174.781859206429,-174.685833303391,-174.68059798887,-174.856863603557,-174.901205502155,-176.1708722095438,-176.35946598654553,-176.18158511807397,-176.369485529237,-176.2063085387281,-176.37870507226503,,-176.3632926810981,-176.15375009948497,-176.35610437445402,-176.1548731624081,-176.35832851972285,,-176.375905199,-176.18876865566995,-176.384174613564,,-176.3628058543351,,-176.3960502262457,,-176.3747464951051,,-176.38401842176373,-176.18975775427367,-176.3720119656665,,-176.375186504,-176.18910554408632,-176.38391003215904,,,,,,,,,-176.274602506865,-176.274770570721,-176.21596505953,-176.238110289225,-176.26615635,-176.29724483,-176.2428569863,-176.3574394774,-176.2201812698,-176.3447964464,-176.2450244239,-176.3574018987,-176.3335035789,-176.454517545,-176.2461996519,-176.2461996519,-175.885442105303,-176.267379190031,-176.28946474,-176.28930722,-176.28711646,-176.2869698,,,,-176.22507806538616,-176.37400695671323,-176.2214709235444,-176.3806247034024,-176.290631917775,-176.37168074928158,-176.19841771774804,-176.37488529603615,-176.22152007755224,-176.37998332191572,-176.28409392078495,-176.37168074932373,-176.198080692831,-176.37447715892847,-176.4478750378173,-176.37986536760863,-176.19557841664545,-176.3736716952319,-176.25718088573083,-176.3789207817153,-176.2571483476292,-176.37840235053903,-176.19557841664545,-176.3736716952319,-175.715203481159,-175.98271019110757,,-176.37056476595282,,,,,,,
-182.68152100084407,-182.7592598499116,-182.703296512981,-181.399111933531,-181.330049819473,-181.322175900202,-181.433610543022,-181.781946432016,-183.14263840210387,-183.16741765524267,-183.14383196494063,-183.17146076880056,-183.16036508754448,-183.18259858652567,-183.14492459406404,-183.1740030885809,-183.1207486531748,-183.1559580542227,-183.12172411694013,-183.1585944664863,-183.15398799,-183.178227378,-183.1715419122164,-183.1839546558504,-183.14435551385216,-183.1733537233904,-183.17906245346805,-183.1844325419762,-183.153606611296,-183.1765340014008,-183.17155613611652,-183.18392086057355,-183.1529393272624,-183.1727196511368,-183.153837195,-183.177139037,-183.1714972095998,-183.18374292683083,-183.1814915232336,-183.18149799453312,-183.181554560632,-183.17914324910632,-183.18013164124827,-183.22461012072088,-183.22471975832457,-183.22228914379133,-183.148602792572,-183.147496126972,-183.085880111288,-183.106632999062,-183.12842521,-183.15386498,-183.1374961694,-183.1647582815,-183.1150198239,-183.1494792384,-183.1400841633,-183.1647655356,-183.2144050992,-183.2540056654,-183.1414708066,-183.1414708066,-182.691217818446,-183.122823420584,-183.15282853,-183.15273974,-183.14986822,-183.14978413,,,,-183.21619332594375,-183.18384243326412,-183.16344744708795,-183.1791467226211,-183.2267644963,-183.18207960588603,-183.15242030662287,-183.17511602311936,-183.1634302610524,-183.1781145845881,-183.22675164108273,-183.18207960585244,-183.15237230644607,-183.1742571764377,-183.1628731460229,-183.178120926108,-183.15243080141448,-183.1748799913236,-183.16899272832703,-183.178986446588,-183.16897038260808,-183.1779717704548,-183.15243080141448,-183.1748799913236,-182.68152079668863,-182.75925965059616,-183.135351839089,-183.18063579916907,,-183.18101466049163,,,,,
-187.43263548000087,-187.43404915215004,-187.4405788588224,-186.057989033059,-186.016912151616,-186.005576911502,-186.07239136437,-186.385175661038,-187.8995220192524,-187.89179053581515,-187.8968707885724,-187.8896615459492,-187.91101127394188,-187.90330406754737,-187.901204611112,-187.9012046111301,-187.87569500668627,-187.8699649254318,-187.876550863434,-187.8716352212324,-187.901227903,-187.899969967,-187.9116060360012,-187.91046999633247,-187.90095762120447,-187.89819940088768,-187.91244644844008,-187.91221523043177,-187.9008759085445,-187.9008676399065,-187.9115690456875,-187.91156022677828,-187.90009804884133,-187.89246998510924,-187.901053076,-187.900120852,-187.9115342328055,-187.91038872093503,,-187.91232152818253,-187.9128419028189,-187.91243924635685,,-187.95289127659944,-187.9534255257384,-187.9530158094232,-187.894652211335,-187.898585427252,-187.840290295987,-187.856466362497,-187.8743879,-187.89784391,-187.8947775974,-187.8875356075,-187.872828731,-187.866929087,-187.8972350425,-187.8877549838,-187.9721980665,-187.9673471606,-187.898610976,-187.898610976,-187.442426549108,-187.878087814802,-187.90410036,-187.90404472,-187.90136648,-187.90131452,-187.91069852062,-187.899201661597,-187.9106985,,,,,,,,,,,,,,,,,,,,,,,,,-187.43263532237123,-187.43404899524847,-187.908966481582,-187.8997060948851,-187.9097255489125,-187.90972554909567,-187.94246709441256,-187.95366925635784,-187.94874214409307,-187.96229615200517,-187.94787252524657
-190.71475410910352,-190.71475410914536,-190.7180229568993,-189.489487630318,-189.470543825293,-189.455273395792,-189.505206990573,-189.640007540939,-191.1849678588545,-191.18496785857457,-191.18157887848253,-191.18157887841303,-191.19475201178813,-191.1947520116736,-191.1868546801724,-191.18685467608847,-191.1610077534836,-191.16100775336807,-191.1618217746196,-191.16182177463327,-191.184858971,-191.184858961,-191.19386649450288,-191.19386647609247,-191.18632437449372,-191.1863243753197,-191.1942374788117,-191.19423747891287,-191.1844477033177,-191.18444770569255,-191.1937882172361,-191.19378821973544,-191.1837096688536,-191.1837096659428,-191.184641162,-191.184641154,-191.1937619364421,-191.193761917034,-191.19392682650064,-191.19393274011253,-191.19429648531607,-191.1940509649121,-191.1942708467689,-191.2325386203444,-191.2329152863205,-191.2326650714574,-191.115744786087,-191.195026334633,-191.063241375659,-191.082007420139,-191.10814243,-191.12757378,-191.1804342576,-191.1804342589,-191.158740251,-191.1587402528,-191.1828279573,-191.1807269894,-191.2598006693,-191.2598006916,-191.1842063891,-191.1842063891,-190.72472561351,-191.163350725553,-191.18797696,-191.18793789,-191.18533159,-191.18529529,-191.191400966718,-191.18245462585,-191.191401,-191.19088612410664,-191.19088613180696,-191.185575975467,-191.185575696218,-191.18934093299407,-191.19014869413945,-191.18203823884093,-191.18132015761,-191.18555084233023,-191.18555058045945,-191.189335210568,-191.19014869413945,-191.18199763293143,-191.18127604365307,-191.18554554028972,-191.18554551938252,-191.18164621870693,-191.18164622099604,-191.18591554409403,-191.18591554540984,-191.1858901280248,-191.18589012950568,-191.18164621870693,-191.18164622099604,-190.7147539874008,-190.71475398740108,-191.189694943384,-191.18969491646345,-191.19076071830065,-191.1907607155292,-191.2237223388504,-191.23323174639287,-191.2275281990113,-191.23774078801492,-191.22668570461352
