PBE0,wB97MV,wB97MD4rev,wB97XV,wB97XD4rev,M062X,B3LYP,BHandHLYP,TPSS0,TPSSh,wr2scan,r2scan0,r2scanh,r2scan,B97MV,PBE,TPSS,BLYP,VWN3,UPBE0,UPBE,B2PLYP,UB2PLYP
436.1650525628182322,436.1108404540756283,436.0346223890677493,436.1204203705986515,436.0441907734168581,435.9634188598743094,436.0455128890976653,436.0631717678507471,436.0978368535424465,436.0930083643394823,436.0782941973162110,436.1047407027338068,436.1022188700823676,436.1004348142003550,436.2374723244629990,436.1775858804770678,436.0896250479588048,436.0242658104136240,436.5938297424360712,436.165052562782,436.177585880427,436.174682823454,436.174682813788
41.4701324891669856,41.3963676060612826,41.3202532786434631,41.4192723608321955,41.3431519654804447,41.2939728617209312,41.3409244536260871,41.3505473089925317,41.3345401492671840,41.3160836025429603,41.4119830509696385,41.4235957086033295,41.4260747825566114,41.4275909223920280,41.4945266449221606,41.4829782062503227,41.3035969585773728,41.3097881318174132,41.9935219921861744,41.470132489171,41.482978205096,41.454246602324,41.454246552368
-75.9566898780694828,-76.0453955029101252,-76.1212574096284698,-76.0092225027697310,-76.0850899103170377,-76.1144219195059577,-76.0771582284107808,-76.0895477478051134,-76.1207233368618290,-76.1366828210257154,-76.0111366102679540,-76.0141763580376733,-76.0063383897409608,-76.0012891873851686,-75.9867863162855741,-75.9303603634951401,-76.1475489986610796,-76.1019617529850052,-75.3637807560725150,-75.956689878234,-75.930360363545,-75.997130532608,-75.997130541598
-125.5903852108062893,-125.6857922084850685,-125.7614931612177429,-125.6414602335825066,-125.7171494561592908,-125.7199829088932006,-125.7121896884336820,-125.6897141335788319,-125.7503736235349265,-125.7849912191463773,-125.6508791846744089,-125.6400542631069470,-125.6473728200971323,-125.6528216643562246,-125.6525514229335556,-125.5984542407411482,-125.8090757132283670,-125.7667899801638782,-125.0135862990379678,,-125.598454240760,-125.617545686644,-125.615255957923
-151.2242048693489949,-151.3134407295550261,-151.3895595573780213,-151.2756167307879309,-151.3517278627922735,-151.2996744570334329,-151.3565312103783924,-151.3085475810241576,-151.3762734928465932,-151.4218228768537244,-151.2754025091447545,-151.2533942477090534,-151.2696654116317347,-151.2807069152367205,-151.2967386298781207,-151.2518510947831771,-151.4524811118756418,-151.4258699565017139,-150.6600570243378741,-151.224204869357,-151.251851110915,-151.237709722449,-151.232153775091
-166.6256627572004447,-166.7121189945487174,-166.7883068753438636,-166.6799057389830807,-166.7560866967858431,-166.7082235826288468,-166.7531236441064095,-166.7122262462832225,-166.7751229675235152,-166.8172559999269140,-166.6721043008887193,-166.6576968268772987,-166.6723467352734644,-166.6822634455054697,-166.6918262286961010,-166.6482697624506670,-166.8455587664758752,-166.8193212257255880,-166.0368478881208318,-166.632472422031,-166.653447875909,-166.637999939206,-166.637593607696
-176.4501438094009700,-176.5481128809288691,-176.6250780215781901,-176.5168221501894266,-176.5937848764774571,-176.5687409183362888,-176.5763424491203182,-176.5371242902105564,-176.5967162898259062,-176.6366419007792388,-176.5185398226702773,-176.4994991918957794,-176.5159885535983335,-176.5271334227396665,-176.5095819316498194,-176.4699096123977711,-176.6634995696699093,-176.6410983920332001,-175.8423284256002717,-176.668440550036,-176.681775960091,-176.480109877501,-176.678065006813
-183.3886003123208468,-183.4923309531014866,-183.5691582348177064,-183.4596877621174542,-183.5365153591448291,-183.4996760082329104,-183.5097532756219323,-183.4838256172065769,-183.5337210493767941,-183.5677086855598930,-183.4621487450390589,-183.4467624315795149,-183.4604462777482752,-183.4697244075046285,-183.4590347094161586,-183.3989909182145936,-183.5906308823212214,-183.5672234171054527,-182.7633749344214777,-183.435260537286,-183.443953073464,-183.424706039264,-183.462656306614
-188.1160410065154167,-188.2243147381933852,-188.3010370996808831,-188.1916529919730863,-188.2683780366316739,-188.2188029942109040,-188.2321918701916559,-188.2173422768618991,-188.2600318427818422,-188.2890218248302006,-188.1933239725400711,-188.1804832689666398,-188.1917926623920323,-188.1995000702302434,-188.1977577382583036,-188.1185819152319993,-188.3086439418509883,-188.2835070975525298,-187.4767156803898445,-188.116041006538,-188.118581915166,-188.159918550504,-188.159054460207
-191.3784277644818417,-191.4897188207358454,-191.5663706416987111,-191.4584706863793997,-191.5351266081381141,-191.4771655564127286,-191.4901905666709467,-191.4842215118047193,-191.5217171530289306,-191.5466950994638751,-191.4579774134826380,-191.4472135305516645,-191.4565323265822485,-191.4629253479859585,-191.4683803735546519,-191.3746496763474170,-191.5636702084550507,-191.5366064817479241,-190.7272747089995732,-191.378427764505,-191.374649675960,-191.428676661205,-191.428676595974
-193.6582867676908108,-193.7716491421578269,-193.8482560623107815,-193.7425891517333980,-193.8192004097969061,-193.7564111696214582,-193.7664658740086452,-193.7673812032502951,-193.8013076831534818,-193.8232263600613692,-193.7390353560159042,-193.7300321353136496,-193.7377594947009811,-193.7430993368158170,-193.7531982338460637,-193.6496281101023555,-193.8381802461722145,-193.8092143593208334,-192.9967868551528909,-193.658286767685,-193.649627976644,-193.713271149217,-193.713270768450
-195.2704123347145924,-195.3855195967264820,-195.4620981787966798,-195.3587905433398078,-195.4353727715137552,-195.3699137299547601,-195.3759211304887344,-195.3818952304386585,-195.4134712444312640,-195.4332310602010239,-195.3517493723708185,-195.3441115611474288,-195.3506863178284334,-195.3552597227539422,-195.3678954058696036,-195.2582444461688738,-195.4467552037148721,-195.4161864901360559,-194.5998102416301094,-195.270412334711,-195.258244446079,-195.328854554521,-195.328854076465
-196.4220532025069019,-196.5389072448083709,-196.6154677239875923,-196.5143023233488293,-196.5908653034672113,-196.5240901172358861,-196.5257974708247559,-196.5352124210680529,-196.5653448211627108,-196.5837550178790423,-196.5037917665016209,-196.4970272229722070,-196.5029037956779518,-196.5070104040624130,-196.5207239575576637,-196.4076300826723980,-196.5963835564138833,-196.5646540322516387,-195.7435666538633257,-196.422053229699,-196.407630016860,-196.483100284667,-196.483099980832
-197.2514886265891789,-197.3702145587458858,-197.4467641499662989,-197.3473767057015209,-197.4239275812370522,-197.3565206719615901,-197.3542853141007924,-197.3657740077829033,-197.3951450869061830,-197.4128939519464154,-197.3337426029197275,-197.3273429969618462,-197.3329645124408955,-197.3368986929491200,-197.3507269129984820,-197.2358912184992334,-197.4250836638681506,-197.3926481791097842,-196.5662937370267684,-197.251488636526,-197.235891218363,-197.314631388470,-197.314631164369
-197.8525162510493942,-197.9732670782545370,-198.0498118420948686,-197.9517887359734800,-198.0283336898721416,-197.9607336499065582,-197.9550633224810667,-197.9675051483361301,-197.9966291300612227,-198.0142817720487756,-197.9354317795238387,-197.9289436949752883,-197.9346846760640233,-197.9386966643864696,-197.9521888264008567,-197.8366413153292456,-198.0264095621503486,-197.9936815901348268,-197.1616971675042578,-197.852516256007,-197.836641315309,-197.917481102130,-197.917480931713
