c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.08785142,0.08884664,0.82356891,0.08771848,0.08871273,0.82356879,0.33225589,0.33234494,0.33539917,0.04144845,0.04239286,0.9161587,0.01112282,0.01137625,0.97750093
2.27135835,2.27345685,4.07590188,0.2483711,0.250469,0.50115989,0.20354145,0.20472814,0.59173042,0.30800777,0.30857716,0.38341507,0.19149755,0.19185156,0.61665088
0.16327991,0.65532177,0.48270329,0.06407484,0.55548338,0.38044178,0.07016609,0.54488781,0.3849461,0.04052963,0.65285436,0.30661602,0.03868809,0.62319076,0.33812115
0.0827695,0.50687431,0.4400432,0.07187572,0.49453375,0.43359052,0.19928848,0.43521659,0.36549493,0.02093676,0.78518028,0.19388296,0.01497734,0.56168723,0.42333543
0.58468255,0.6182437,0.89867368,0.21900272,0.25161183,0.52938545,0.21951557,0.25150849,0.52897594,0.23112549,0.25842051,0.51045401,0.22318677,0.24954426,0.52726897
0.27971184,0.27656513,0.52254737,0.24302745,0.23989665,0.5170759,0.28829284,0.28601568,0.42569148,0.29057322,0.28407219,0.42535459,0.18289358,0.17880168,0.63830474
0.29002679,0.28183363,0.51762432,0.248707,0.24054279,0.51075021,0.28751637,0.28138036,0.43110327,0.29879137,0.2821483,0.41906033,0.19494625,0.18408749,0.62096626
0.26352977,0.26959524,0.52064581,0.23799429,0.24403694,0.51796878,0.29635355,0.30024776,0.40339869,0.28798463,0.30139386,0.4106215,0.16807277,0.17589863,0.65602859
0.24439637,0.24847356,0.54052199,0.22826673,0.23232157,0.53941171,0.30617904,0.30840986,0.3854111,0.27630805,0.28560407,0.43808789,0.14440247,0.1492607,0.70633683
0.22718392,0.2270108,0.57205775,0.21442196,0.21425029,0.57132775,0.30913373,0.30904544,0.38182083,0.25137269,0.25098972,0.4976376,0.11991857,0.11973587,0.76034555
0.21483748,0.21458316,0.59302237,0.2038922,0.20364038,0.59246742,0.31029101,0.31016702,0.37954197,0.23108615,0.23053936,0.53837449,0.10398192,0.10373588,0.79228219
0.19981081,0.19978114,0.62962362,0.18568226,0.18565315,0.62866459,0.29929543,0.29927895,0.40142562,0.18972349,0.18966714,0.62060938,0.08382843,0.08380354,0.83236803
0.20239024,0.20240198,0.6317125,0.18486841,0.18487988,0.63025171,0.29198192,0.29198898,0.4160291,0.1849689,0.18499037,0.63004073,0.08516162,0.08517151,0.82966687
0.2075242,0.20745899,0.63102301,0.18564111,0.18557782,0.62878106,0.28384605,0.28380397,0.43234998,0.18295861,0.18284365,0.63419774,0.08892564,0.08886977,0.8222046
0.21357383,0.21355373,0.63046897,0.18646381,0.18644442,0.62709177,0.27498711,0.27497331,0.45003958,0.1808144,0.18078037,0.63840522,0.09333505,0.09331748,0.81334747
0.22004252,0.22001614,0.63120791,0.18688369,0.18685842,0.62625788,0.26562159,0.2656025,0.46877591,0.177825,0.17778236,0.64439264,0.09776635,0.09774291,0.80449074
0.22651909,0.22653693,0.63383539,0.1865856,0.18660256,0.62681184,0.25590928,0.25592276,0.48816796,0.17364433,0.1736717,0.65268397,0.1017312,0.10174723,0.79652157
0.23133124,0.23316417,0.63910654,0.18434765,0.18607161,0.62958074,0.2454688,0.24689646,0.50763474,0.16663455,0.16928564,0.66407981,0.10364192,0.10529082,0.79106725
0.25933255,0.2158605,0.64563196,0.20371099,0.16327742,0.63301159,0.25423625,0.21962364,0.52614011,0.19246598,0.13334793,0.67418609,0.12672823,0.08780225,0.78546952
,,,,,,,,,,,,,,
0.22908813,0.22908813,0.65825567,0.17667261,0.17667261,0.64665478,0.23399377,0.23399377,0.53201247,0.15056938,0.15056938,0.69886125,0.0975013,0.0975013,0.80499739
