c1,c2
0.52498939,0.49086647
0.52056707,0.5173137
0.51109357,0.50155398
0.45348636,0.56365472
0.50359953,0.51875275
0.51305728,0.50818469
0.5135642,0.51477377
0.51532683,0.51567122
0.51515571,0.51400723
0.51320229,0.51321715
0.51154219,0.51398323
0.50910823,0.51434013
0.51459929,0.51458677
0.5185281,0.51855194
0.52409277,0.524095
0.53107695,0.53107901
0.53900173,0.53924089
0.54854173,0.54734578
0.55794987,0.55795855
0.56796881,0.56795572
0.57805648,0.57804903
0.58796315,0.58796264
0.59743245,0.59743248
0.60627149,0.60627523
0.61434133,0.61434364
0.62159229,0.62160014
0.62806208,0.62806655
0.6336853,0.63397905
0.36811434,0.85017328
0.89951895,0.28745948
0.23193798,0.92901957
0.94863778,0.19014186
0.15745315,0.96235784
0.97210088,0.13143796
0.97937778,0.10982907
0.09216511,0.98472135
0.98876529,0.07727042
0.06508207,0.99175608
0.05435386,0.99415616
0.04583603,0.99578712
0.9971279,0.03811523
0.99797579,0.03185056
0.99857165,0.02655206
0.02214216,0.99900096
0.01825395,0.99931413
0.0139829,0.99965373
0.01148402,0.9997592
0.99984697,0.00863318
0.99994004,0.00438007
0.99992902,0.00623479
0.00389907,0.99996461
0.99997169,0.00380723
0.9999899,0.00197742
0.00173254,0.99999282
0.0020689,0.99999273
0.99999405,0.00192204
0.00059402,0.99999879
0.00123986,0.99999759
0.00127298,0.9999972
0.00104557,0.99999817
0.00047026,0.99999953
0.00056022,0.99999957
0.99999951,0.00056757
0.00044458,0.99999973
0.99999982,0.0003631
0.00029396,0.99999988
0.0002444,0.99999992
0.99999995,0.00019273
0.99999997,0.00015573
0.00011541,0.99999998
0.99999999,7.278e-05
1.0,4.325e-05
4.422e-05,1.0
4.333e-05,1.0
1.0,3.616e-05
1.0,2.717e-05
1.0,2.08e-05
1.533e-05,1.0
1.0,8.9e-06
5.31e-06,1.0
1.0,3.71e-06
1.0,2.57e-06
1.0,1.87e-06
1.37e-06,1.0
1.0,1.01e-06
1.0,7.3e-07
1.0,5.2e-07
1.0,3.7e-07
2.7e-07,1.0
2.3e-07,1.0
1.6e-07,1.0
1.1e-07,1.0
8e-08,1.0
5e-08,1.0
4e-08,1.0
1.0,3e-08
2e-08,1.0
1.0,1e-08
1e-08,1.0
1.0,1e-08
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
