VB overlap,CF overlap,ion overlap,cov overlap
0.94851,0.033136,0.897584,0.782444
0.382718,0.978018,0.768449,0.510596
0.696306,0.984851,0.905691,0.447794
0.626894,0.821463,0.564728,0.085515
0.515253,0.893567,0.397826,0.448571
0.373195,0.88184,0.828206,0.862199
0.614533,0.849703,0.769073,0.83458
0.580046,0.693416,0.678748,0.707191
0.470893,0.853945,0.555616,0.601307
0.5891,0.760978,0.525592,0.596295
0.243793,0.930988,0.801417,0.665178
0.327434,0.937116,0.722817,0.536611
0.312207,0.941474,0.55398,0.519953
0.29324,0.872542,0.271488,0.542508
0.197349,0.662457,0.29491,0.455362
0.233588,0.915373,0.365348,0.2509
0.210954,0.731281,0.088233,0.103468
0.101185,0.729043,0.072258,0.112913
0.110073,0.724791,0.184737,0.286275
0.233834,0.720327,0.015914,0.071671
0.026246,0.711553,0.423383,0.299143
0.319721,0.708415,0.424575,0.393968
0.339518,0.69139,0.485562,0.444718
0.340758,0.672004,0.511049,0.44965
0.336218,0.648896,0.516929,0.432534
0.325636,0.619794,0.507854,0.407315
0.313436,0.592201,0.495983,0.383783
0.298944,0.561178,0.481794,0.356733
0.28336,0.523817,0.460947,0.332062
0.268241,0.495555,0.438856,0.307683
0.253419,0.458072,0.412801,0.285377
0.238459,0.425653,0.388289,0.263402
0.223529,0.393772,0.362456,0.24286
0.208256,0.36271,0.342731,0.223049
0.193152,0.332784,0.324983,0.204371
0.178305,0.304347,0.300575,0.18673
0.164007,0.277499,0.276576,0.170405
0.150399,0.253059,0.258009,0.155197
0.137459,0.22983,0.265345,0.141062
0.125434,0.208279,0.248158,0.128067
0.114149,0.188484,0.22578,0.116136
0.103651,0.17042,0.207417,0.105153
0.094025,0.153962,0.191385,0.095137
0.085112,0.138984,0.176239,0.085937
0.076909,0.125396,0.160939,0.07751
0.069378,0.113085,0.131052,0.069811
0.062473,0.101932,0.122082,0.062778
0.056158,0.091862,0.114529,0.056375
0.050391,0.082778,0.106188,0.050537
0.045128,0.074489,0.089761,0.04523
0.040348,0.067045,0.083139,0.040412
0.036003,0.060316,0.073507,0.036043
0.032069,0.054234,0.063589,0.03209
0.028509,0.048738,0.056733,0.02852
0.025297,0.043826,0.049185,0.025301
0.022406,0.039361,0.045464,0.022406
0.019808,0.035368,0.041695,0.019805
0.017479,0.031764,0.035858,0.017475
0.015397,0.028547,0.038455,0.01539
0.013535,0.025577,0.034106,0.013529
0.011878,0.022912,0.027205,0.011873
0.010404,0.020554,0.021966,0.0104
0.009097,0.018424,0.02349,0.009092
0.007939,0.016505,0.019496,0.007936
0.006915,0.014786,0.0173,0.006913
0.006013,0.013241,0.015335,0.006011
0.005218,0.011837,0.014322,0.005216
0.00452,0.010576,0.012118,0.004519
0.003907,0.009491,0.010719,0.003905
0.00337,0.008467,0.008585,0.003369
0.002902,0.007556,0.006457,0.002903
0.002495,0.006735,0.005142,0.002494
0.00214,0.005952,0.004796,0.00214
0.001832,0.005309,0.00473,0.001832
0.001565,0.004674,0.004487,0.001565
0.001334,0.004173,0.003693,0.001334
0.001134,0.003649,0.00317,0.001134
0.000963,0.003242,0.002533,0.000963
0.000815,0.002876,0.001849,0.000815
0.000689,0.002533,0.001423,0.000689
0.000581,0.0022,0.001174,0.000581
0.000489,0.001924,0.000964,0.000489
0.00041,0.001669,0.000806,0.00041
0.000343,0.001449,0.000675,0.000343
0.000287,0.001262,0.000564,0.000287
0.000239,0.001096,0.00047,0.000239
0.000199,0.000946,0.000391,0.000199
0.000165,0.000811,0.000324,0.000165
0.000136,0.000697,0.000268,0.000136
0.000112,0.000598,0.000221,0.000112
9.3e-05,0.000507,0.000182,9.3e-05
7.6e-05,0.000434,0.00015,7.6e-05
6.2e-05,0.000368,0.000123,6.2e-05
5.1e-05,0.000312,0.0001,5.1e-05
4.1e-05,0.000263,8.2e-05,4.1e-05
3.4e-05,0.000221,6.6e-05,3.4e-05
2.7e-05,0.000184,5.4e-05,2.7e-05
2.2e-05,0.000152,4.4e-05,2.2e-05
1.8e-05,0.000126,3.5e-05,1.8e-05
1.4e-05,0.000104,2.8e-05,1.4e-05
1.2e-05,8.6e-05,2.3e-05,1.2e-05
9e-06,7.1e-05,1.8e-05,9e-06
7e-06,5.8e-05,1.5e-05,7e-06
6e-06,4.8e-05,1.2e-05,6e-06
5e-06,3.9e-05,9e-06,5e-06
4e-06,3.1e-05,7e-06,4e-06
3e-06,2.5e-05,6e-06,3e-06
2e-06,2.1e-05,5e-06,2e-06
2e-06,1.7e-05,4e-06,2e-06
1e-06,1.4e-05,3e-06,1e-06
1e-06,1.1e-05,2e-06,1e-06
1e-06,9e-06,2e-06,1e-06
1e-06,1e-05,1e-06,1e-06
1e-06,8e-06,1e-06,1e-06
0.0,9e-06,1e-06,0.0
0.0,7e-06,1e-06,0.0
0.0,5e-06,0.0,0.0
