HF,UHF,MP2,UMP2,MP3,UMP3,MP4,UMP4,CISD,UCISD,CCD,UCCD,CCSD,UCCSD,CCSD(T),UCCSD(T),QCISD,UQCISD,QCISD(T),UQCISD(T),CASSCF,CASPT2,SC-NEVPT2,FIC-NEVPT2,MRCI
-399.0753163659968,-399.09157572563913,-399.1872420287807,-399.1828097483684,-399.20176673218793,-399.19499142836605,-399.21020680566954,-399.2031454381213,-399.1983112889016,-399.19761018165906,-399.20543965215,-399.19910174478815,-399.207522449,-399.206667182,-399.2136659871246,-399.21311609145533,-399.207877051,-399.206853873,-399.21384370166794,-399.2127793290255,-399.1438052499767,-399.207024030009,-399.206457957386,-399.206994544626,-399.211089225892
-399.0913130287832,-399.1056526757332,-399.2024514820865,-399.19681466704554,-399.2169198931721,-399.20900542306464,-399.2252869918231,-399.2171623780988,-399.2135158476966,-399.2116327863733,-399.22053608448886,-399.2130533222335,-399.222600505,-399.221574219,-399.2286551871813,-399.22832047957394,-399.222948568,-399.22151501,-399.2288294299624,-399.2277015193658,-399.15931334624867,-399.222073910753,-399.221540533456,-399.22206382958,-399.226126678202
-399.10572589625514,-399.1183134781218,-399.2160205742,-399.2093687252745,-399.23043065981113,-399.2215740719888,-399.23872396939646,-399.2297364611797,-399.2270897491116,-399.2242261928188,-399.2340052044792,-399.22558307504545,-399.236049029,-399.234995636,-399.2420152838276,-399.24190791619344,-399.236390431,-399.234722671,-399.24218606626033,-399.2411421353408,-399.1732645400321,-399.235476317389,-399.234959067704,-399.235468611287,-399.239550491057
-399.11868643119783,-399.12968291214406,-399.2281073095824,-399.2206222845157,-399.24245667719686,-399.2328469154377,-399.2506761192378,-399.24101692026574,-399.2391872817536,-399.2355331708603,-399.2460024342016,-399.2368379611276,-399.248023566,-399.247011661,-399.25390155653406,-399.25396681785776,-399.248358253,-399.246583336,-399.25406889510833,-399.25318096672714,-399.1857835579113,-399.247404887593,-399.246890798875,-399.247385812651,-399.251499354086
-399.1303196312314,-399.1398777984672,-399.23885701791454,-399.23071143211433,-399.2531431230952,-399.2429592053921,-399.26128915530046,-399.2511382690976,-399.249950995617,-399.2456819749093,-399.25667115450074,-399.2469495390061,-399.258667601,-399.257722089,-399.26445728765975,-399.2646297148324,-399.25899555,-399.257206653,-399.26462119102354,-399.2639154450315,-399.19699366977926,-399.258020352141,-399.257528392047,-399.258012350064,-399.262033166222
-399.1407437615356,-399.14900735896725,-399.2484024061464,-399.23975890721226,-399.26262273960583,-399.2520329231214,-399.2706961747428,-399.2602214170211,-399.2595115553108,-399.2547874948763,-399.2661426292675,-399.2560364581152,-399.268112864,-399.267249228,-399.2738143131905,-399.2740524108119,-399.268434082,-399.266692417,-399.27397466141184,-399.2734445374473,-399.2070094484309,-399.267436703568,-399.266960917108,-399.267435362149,-399.271508940478
-399.15007003798894,-399.1577568441677,-399.25686409759805,-399.2471986250737,-399.271016340891,-399.2592322041997,-399.27901820200304,-399.2669294009559,-399.2679882745359,-399.26244890569376,-399.2745369810284,-399.26360945307846,-399.27647832,-399.274913753,-399.2820907496701,-399.2813568850924,-399.276792735,-399.274223924,-399.28224764136314,-399.28133640082376,-399.2159503917785,-399.275760433712,-399.275280144323,-399.275741830355,-399.279792864683
-399.1584023919039,-399.1660215712112,-399.2643514159338,-399.2546427080193,-399.27843356216766,-399.26660430010526,-399.2863649772229,-399.2742550998077,-399.27548974417687,-399.2699144763511,-399.28196188551885,-399.27099060282006,-399.283873148,-399.282297353,-399.2893958732559,-399.2886581497785,-399.284180665,-399.281584333,-399.2895490956136,-399.2886141926748,-399.22391709077925,-399.283113579324,-399.282644096043,-399.283093241229,-399.28717281021
-399.16583736875344,-399.1733170458165,-399.27096330201687,-399.26120590236224,-399.2849737412572,-399.2731058555107,-399.2928358744618,-399.28072075786656,-399.2821146438619,-399.2765023740262,-399.2885164606664,-399.27750639112514,-399.290396142,-399.288815866,-399.29582847715307,-399.29509361475056,-399.290696653,-399.288081251,-399.29597811613166,-399.2950266043615,-399.23100610001416,-399.28958196989,-399.289100508707,-399.289537847186,-399.293669495173
-399.1724641651238,-399.1797398930236,-399.27678928656894,-399.2669805171837,-399.2907268480884,-399.27882880314576,-399.2985208624352,-399.2864174121453,-399.28795251365005,-399.2823045898919,-399.2942900478933,-399.2832482320432,-399.296136744,-399.29455901,-399.3014778277301,-399.3007522214469,-399.296430104,-399.293804643,-399.301623769308,-399.3006641002252,-399.23731432870073,-399.295278847086,-399.294806960403,-399.29522878709,-399.299347551868
