HF,UHF,2UHF,MP2,UMP2,2UMP2,MP3,UMP3,2UMP3,MP4,UMP4,2UMP4,CID,UCID,2UCID,CISD,UCISD,2UCISD,CCD,UCCD,2UCCD,CCSD,UCCSD,2UCCSD,CCSD(T),UCCSD(T),2UCCSD(T),QCISD,UQCISD,2UQCISD,QCISD(T),UQCISD(T),2UQCISD(T),CASSCF(2/2),DCD-CAS(2) (2/2),SC-NEVPT2 (2/2),FIC-NEVPT2 (2/2),CASSCF(12/8)_ORCA,CASSCF(12/8),CASPT2_ORCA,CASPT2,DCD-CAS(2),SC-NEVPT2,FIC-NEVPT2,MRCI,MRCI+Q Davidson,MRCI+Q Davidson relaxed,MRCI+Q Pople,MRCI+Q Pople relaxed,MR-ACPF,MR-AQCC
358.08119502321364,358.0112594083323,358.0112594078644,357.86076030724223,357.809955114002,357.8099551103832,357.83948130876456,357.7901156382612,357.7901156349768,357.8306026279597,357.7829418127757,357.7829418092446,357.84689018550364,357.7944095802863,357.7944095770719,357.84689018550364,357.7944095802863,357.7944095770719,357.83156337883867,357.78276365586214,357.78276365165243,357.829725786,357.780822482,357.780822481,357.820078094651,357.7710714451794,357.7710714433907,357.8293789,357.781048093,357.781048092,357.81991959759694,357.77191183918177,357.7719118364772,358.05205996862145,357.833624433856,357.833624347856,357.756726116324,358.03539621906,358.044473971308,357.829750258879,,357.844062087557,357.86783748335,357.847181017459,,,,,,,
44.66819805444072,44.601374026257474,44.601374026273845,44.42386073881087,44.375429571705446,44.37542957056986,44.40406385118419,44.35734793763427,44.357347936539405,44.394714048163614,44.35003560980687,44.35003560861273,44.41352178265136,44.36277950998555,44.36277950899931,44.41352178265136,44.36277950998555,44.36277950899931,44.39680223449155,44.3488232067057,44.34882320545911,44.394787321,44.346786818,44.346786818,44.38529806890185,44.33607052370327,44.33607052335638,44.394490805,44.347101743,44.347101743,44.38520775170248,44.33709084885256,44.33709084832094,44.64029355772723,44.398980420435,44.398980484679,44.339631808449,44.633399915759,44.630494497579,44.40217590658,44.394014090683,44.418892200201,44.443112728276,44.419392861993,44.391632387398,44.37865284,44.3786743,44.38041449,44.38043372,44.379812835493,44.382236911246
-50.04956290228103,-50.113566024582894,-50.11356602460268,-50.31323346044648,-50.35934927813188,-50.35934927950824,-50.33348553921847,-50.37753450455454,-50.377534505537255,-50.34399685107498,-50.38569597831956,-50.38569597941645,-50.32154748857276,-50.370584124622205,-50.3705841255423,-50.32154748857276,-50.370584124622205,-50.3705841255423,-50.34126298879395,-50.38786495996475,-50.38786496074307,-50.343500647,-50.39003159,-50.390031591,-50.35379544504883,-50.40221540635607,-50.4022154070003,-50.343771493,-50.389660455,-50.389660456,-50.35386684147776,-50.4010250787361,-50.40102507983664,-50.07649643015528,-50.335800582379,-50.335801076241,-50.383600695037,-50.092491442121,-50.09662497959,-50.334746857231,-50.337959269602,-50.315644595942,-50.289489943674,-50.311426441148,-50.338988808706,-50.35074085,-50.35067133,-50.34910581,-50.34904402,-50.349692096417,-50.34749581545
-90.96001322391784,-91.01774300671984,-91.0213410872474,-91.24075744959784,-91.27808423123103,-91.28542394920808,-91.26277670036647,-91.294080901394,-91.305372919574,-91.27480817701604,-91.30200766501406,-91.31500079121906,-91.24788778031844,-91.28454857555596,-91.29619428222736,-91.24788778031844,-91.28454857555596,-91.29619428222736,-91.2731518039495,-91.29671806468208,-91.31812229277072,-91.276133405,-91.299785396,-91.320490165,-91.29176869142256,-91.30649911842856,-91.33500137758764,-91.276437858,-91.300344347,-91.320122664,-91.29185142803392,-91.30688473524812,-91.33367607189584,-90.98611516369328,-91.261556576214,-91.26155657892,-91.303028576807,-91.024527340307,-91.03011774832,-91.285346900186,-91.288358557088,-91.260455622346,-91.235943068483,-91.258647279961,-91.287719151304,-91.30155461,-91.30131258,-91.29967171,-91.29945517,-91.300447024522,-91.297771719219
-111.43998949140015,-111.49592670858893,-111.49592670860258,-111.73938906475315,-111.78336165090654,-111.78336161059084,-111.76145882700798,-111.8049362256166,-111.80493619100392,-111.77313878886568,-111.81595148363778,-111.81595145453448,-111.74457770210388,-111.79265414507056,-111.79265411541296,-111.74457770210388,-111.79265414507056,-111.79265411541296,-111.76864532952987,-111.82096401475584,-111.82096399786916,-111.770261832,-111.822937448,-111.822937454,-111.78322633007969,-111.84271071541698,-111.84271071821128,-111.770351082,-111.822838907,-111.822838923,-111.78305840119776,-111.8417420883676,-111.84174209234,-111.46516104513806,-111.757776227401,-111.757776217492,-111.795418282452,-111.492374206655,-111.480330632416,-111.76877504083,-111.768666239495,-111.747061155466,-111.71796493474,-111.744511483327,-111.768391895711,-111.78658354,-111.7865288,-111.78420835,-111.78415873,-111.78624109464,-111.782256115828
-123.27499854252709,-123.32589007740424,-123.32589007741448,-123.61112252578656,-123.64731050677806,-123.64731050201183,-123.63019083019766,-123.66441489582648,-123.66441489436691,-123.64008713525192,-123.67291079651602,-123.67291079603976,-123.61186558654911,-123.65105011230234,-123.65105011070376,-123.61186558654911,-123.65105011230234,-123.65105011070376,-123.63320949779072,-123.67149777775369,-123.67149777992194,-123.63491958,-123.673085025,-123.673085026,-123.64557566090288,-123.68605572044174,-123.68605572134416,-123.635043882,-123.673225899,-123.6732259,-123.64557698168142,-123.6860260001864,-123.6860260023491,-123.2994817552796,-123.623327864577,-123.623197388071,-123.640543378061,-123.324836136445,-123.324790742515,-123.571613306425,-123.633425388906,-123.550931609865,-123.520404561456,-123.549762470138,-123.633392886741,-123.6497528,-123.6496795,-123.64751971,-123.64745416,-123.648721811015,-123.645461307122
-131.1319247324126,-131.1818989927542,-131.1818989927699,-131.46571548415696,-131.50224615942255,-131.50224615833577,-131.48258300168615,-131.51732044065375,-131.51732044012363,-131.49129395398813,-131.5248089622754,-131.5248089617965,-131.46636295266,-131.50551544524143,-131.5055154446984,-131.46636295266,-131.50551544524143,-131.5055154446984,-131.48674324060894,-131.52457226337313,-131.52457226308712,-131.488019446,-131.525773818,-131.525773819,-131.49817588931955,-131.53757873214695,-131.53757873218865,-131.488144013,-131.525910246,-131.525910246,-131.49817898190375,-131.53755918653226,-131.53755918668327,-131.1559986945178,-131.478431486299,-131.478346334659,-131.485267177257,-131.167326200773,-131.172118358306,-131.476526615296,-131.485297061342,-131.449670554732,-131.442220328989,-131.449136377798,-131.485576044369,-131.50116744,-131.50114718,-131.49900956,-131.49899152,-131.500654364274,-131.497323343451
-136.45876544731436,-136.63065878679015,-136.4926122073286,-136.8039584825232,-136.9485582890993,-136.8269895544076,-136.82110080462147,-136.9623571629404,-136.84007663290404,-136.8362095622831,-136.9691208836566,-136.8510522264687,-136.80602314120645,-136.9514588913941,-136.82792066621425,-136.80602314120645,-136.9514588913941,-136.82792066621425,-136.78914640191508,-136.96815415953873,-136.82448403907455,-136.972442531,-136.826268331,-136.972246051,-136.7927207089005,-136.98509372068744,-136.84853194046218,-136.826539055,-136.607272198281,-136.910466207824,-136.7923669033858,-136.98503144935617,-136.848233614378,-136.4742046077315,-136.81139813463,-136.811398013018,-136.837269065572,-136.905074634922,-136.932311246074,-136.880982138996,-136.94883943,-136.893917594705,-136.615454716838,-136.932996894436,-136.94882593,-136.94657519,-136.94656312,-136.950087889491,-136.945581822446,,
-140.3616309049853,-140.4460022330259,-140.39634800807795,-140.71315923216812,-140.7689393731141,-140.73776229565323,-140.72657363226554,-140.7811131868149,-140.74883475156247,-140.73752142682778,-140.78771978165332,-140.757756571215,-140.71108695177267,-140.76993478749773,-140.73566157584295,-140.71108695177267,-140.76993478749773,-140.73566157584295,-140.74019717227924,-140.78242650605043,-140.7568207633385,-140.74089489,-140.784124406,-140.757774639,-140.7598770152792,-140.79100538470743,-140.77283102518862,-140.741125333,-140.784299617,-140.757939071,-140.76015244691084,-140.79102136908287,-140.7729724253542,-140.37701664517203,-140.722865761823,-140.722865606215,-140.763404551488,-140.427539992129,-140.380262489829,-140.742845835053,-140.712126854119,-140.720907966576,-140.712342823854,-140.719319147833,-140.708787334329,-140.72818098,-140.72792401,-140.72560198,-140.72537042,-140.746389493908,
-143.106418239407,-143.14525027214847,-143.142662458647,-143.46622142595507,-143.48840920045967,-143.49229239808557,-143.47763692449328,-143.4986051745758,-143.50226028196226,-143.48714213149657,-143.50639505320325,-143.51060135087243,-143.46163036194238,-143.48533702195596,-143.48817836233297,-143.46163036194238,-143.48533702195596,-143.48817836233297,-143.4810899721716,-143.49970003393415,-143.50437469307496,-143.482165888,-143.504538904,-143.505522757,-143.4917536939648,-143.51329148634272,-143.5143094719096,-143.482307489,-143.504370692,-143.505626619,-143.4918012711958,-143.5131573077415,-143.51430094555832,-143.121958597435,-143.477815127604,-143.477814857693,-143.533917199152,-143.136816033992,-143.134359388259,-143.469574070912,-143.48587905713,-143.449443042836,-143.441592514281,-143.448068422623,-143.475956278024,-143.49473465,-143.49471563,-143.49219289,-143.49217583,-143.494830234888,-143.490347267899
