HF_PI,HF_SIGMA,HF_STAB,CCSD(T)_PI,CCSD(T)_SIGMA,CCSD(T)_STAB,CASSCF1,CASSCF2,CASSCF3,NEVPT1,NEVPT2,NEVPT3,CCSD_PI,CCSD_SIGMA,CCSD_STAB
-577.7500568891434796,-577.7576617840918516,-577.7581410209950263,-577.9641190304840848,-577.9526611182939178,-577.9528970706910513,-577.8136744266,-577.8136744253,-577.7954135537,-577.93549105799957,-577.93549106801390,-577.92110434143842,-577.949736906,-577.942893399,-577.942649888
-577.7528837035569040,-577.7625322949553492,-577.7626718508182648,-577.9674423003338006,-577.9578873159624663,-577.9580012654665779,-577.8174091543,-577.8174091521,-577.8010531549,-577.93892830703010,-577.93892831829294,-577.92648282583320,-577.952898732,-577.948004728,-577.947879937
-577.7550582041734515,-577.7666255391915229,-577.7666307445454095,-577.9701232037448335,-577.9623669971564368,-577.9623983020428568,-577.8204889372,-577.8204889362,-577.8059392412,-577.94172072235108,-577.94172072324022,-577.93111356882025,-577.955416049,-577.952363297,-577.952342224
-577.7566377701043621,-577.7700046634555520,-577.7700046635004583,-577.9722197011677736,-577.9661627110997415,-577.9661627112094493,-577.8229698145,-577.8229698131,-577.8101384909,-577.94392473066341,-577.94392472208165,-577.93505905906272,-577.957346682,-577.956031645,-577.956031645
-577.7576753212728136,-577.7727280150335218,-577.7727280150719480,-577.9737852910806168,-577.9693322230031072,-577.9693322223940868,-577.8249111243,-577.8249111228,-577.8136971517,-577.94559905058622,-577.94559904147388,-577.93837797627214,-577.958743990,-577.959067526,-577.959067526
-577.7582196411905215,-577.7748495032749361,-577.7748495032946039,-577.9748693293647648,-577.9719288702880249,-577.9719288703272468,-577.8263568419,-577.8263568412,-577.8166797844,-577.94678828822452,-577.94678830652254,-577.94112277841270,-577.959657188,-577.961524271,-577.961524270
-577.7583156747216435,-577.7764189362824254,-577.7764189363113019,-577.9755173255512091,-577.9740018954723837,-577.9740018960751513,-577.8273542156,-577.8273542133,-577.8191325507,-577.94753962288257,-577.94753958501053,-577.94334295969065,-577.960131647,-577.963451119,-577.963451119
-577.7580048126014844,-577.7774823321715303,-577.7774823322586144,-577.9757712222670989,-577.9755967532465775,-577.9755967535680838,-577.8279452956,-577.8279452940,-577.8211011574,-577.94789480171391,-577.94789480206043,-577.94508382735808,-577.960209168,-577.964893525,-577.964893525
-577.7573251536284715,-577.7780822086614307,-577.7634832024481284,-577.9756696511275322,-577.9767553979899048,-577.9742255216118565,-577.8281681000,-577.8281680989,-577.8226293056,-577.94789288734876,-577.94789285602826,-577.94638810934134,-577.959928252,-577.965893451,-577.958820272
-577.7563117498452812,-577.7782578495177859,-577.7636872629478830,-577.9752481799274619,-577.9775165485719981,-577.9736256487744868,-577.8280608392,-577.8280608367,-577.8237509943,-577.94756980907550,-577.94756977178247,-577.94729379392982,-577.959324330,-577.966489626,-577.958131648
-577.7549968352254837,-577.7780455520766054,-577.7636638964426083,-577.9745395323424191,-577.9779159333489815,-577.9727342158143983,-577.8276543915,-577.8276543884,-577.8245062825,-577.94695792502000,-577.94695789121340,-577.94783672147162,-577.958430000,-577.966717799,-577.957164941
-577.7534100384785916,-577.7774788540443751,-577.7634357885385725,-577.9735737974460790,-577.9779865162764736,-577.9715814478109905,-577.8269790935,-577.8269790919,-577.8249283300,-577.94608690144423,-577.94608690105395,-577.94804943870827,-577.957275231,-577.966610960,-577.955951775
-577.7515785812744298,-577.7765887441627228,-577.7630237542642817,-577.9723786236205569,-577.9777587035001716,-577.9701946760997089,-577.8260634947,-577.8260634935,-577.8250463986,-577.94498439845427,-577.94498439767983,-577.94796259060024,-577.955887559,-577.966199549,-577.954520632
-577.7495274601938036,-577.7754038561135985,-577.7624468949125003,-577.9709793977036725,-577.9772605398088672,-577.9686010776119929,-577.8249346010,-577.8249345997,-577.8248862844,-577.94367863878915,-577.94367863971922,-577.94760517088116,-577.954292267,-577.965511655,-577.952900176
-577.7472796190614872,-577.7739506463472026,-577.7617227497863723,-577.9693994120924572,-577.9765178876700702,-577.9668254972319801,-577.8244790630,-577.8236134574,-577.8236134538,-577.94700209028622,-577.94219031379896,-577.94219031653665,-577.952512552,-577.964573191,-577.951115438
-577.7448561062667522,-577.7722535594834881,-577.7608674384717915,-577.9676600194701450,-577.9755545879079364,-577.9648878821633389,-577.8238458414,-577.8221232630,-577.8221232577,-577.94617773125788,-577.94054247403199,-577.94054248800671,-577.950569685,-577.963408058,-577.949188071
-577.7422762217930767,-577.7703351807593890,-577.7598957979481611,-577.9657807767516715,-577.9743926121830100,-577.9628103351027448,-577.8230083896,-577.8204841361,-577.8204841335,-577.94515288506022,-577.93875289621860,-577.93875289682251,-577.948483148,-577.962038300,-577.947139952
-577.7395576534482871,-577.7682163750015434,-577.7588215125415445,-577.9637795787150480,-577.9730522043603287,-577.9606123325075941,-577.8219885553,-577.8187137287,-577.8187137263,-577.94394941294149,-577.93684190995623,-577.93684187903978,-577.946270778,-577.960484238,-577.944990479
-577.7367166030941235,-577.7659164174648367,-577.7576572368112693,-577.9616727826188480,-577.9715520082783087,-577.9583168046780202,-577.8208043931,-577.8168292251,-577.8168292225,-577.94258422671112,-577.93482373583390,-577.93482372655637,-577.943948883,-577.958764609,-577.942760443
,,,,,,,,,,
,,,,,,,,,,
-577.7276006864506144,-577.7581009778100452,-577.7537379721945854,-577.9548616827394198,-577.9662575890996550,-577.9509671326318312,-577.8164311852,-577.8106400010,-577.8106399985,-577.93769088968486,-577.92828033833962,-577.92828033930732,-577.936468649,-577.952778250,-577.935713362
-577.7244059265996157,-577.7552413574214825,-577.7523236187478233,-577.9524691947613064,-577.9642766934873634,-577.9484188528937239,-577.8147491410,-577.8084416448,-577.8084416447,-577.93584221462379,-577.92597767787731,-577.92597767692223,-577.933845143,-577.950555891,-577.933293695
-577.7211512118869905,-577.7522769885845264,-577.7508709107002005,-577.9500336095500188,-577.9622098941773629,-577.9458383989419872,-577.8129770095,-577.8061944720,-577.8061944689,-577.93390613521876,-577.92363271706301,-577.92363271574516,-577.931174570,-577.948242189,-577.930854540
-577.7178460050098465,-577.7492198220539876,-577.7493884674526043,-577.9475643726732415,-577.9600669790484062,-577.9432396232234623,-577.8111261098,-577.8039085323,-577.8039085323,-577.93189407875548,-577.92125506852028,-577.92125506191371,-577.928466179,-577.945847545,-577.928406768
-577.7144989407139519,-577.7460808866111392,-577.7478844762217705,-577.9450696741942011,-577.9578590049457034,-577.9406338573279527,-577.8092070421,-577.8015929466,-577.8015929465,-577.92981659618079,-577.91885326084866,-577.91885326358795,-577.925728624,-577.943382949,-577.925959075
-577.7111178936312399,-577.7428703599447317,-577.7463667122588049,-577.9425572232687500,-577.9555954543561711,-577.9380270665136550,-577.8072295875,-577.7992560440,-577.7992560437,-577.92768333066385,-577.91643532751891,-577.91643533071681,-577.922969467,-577.940858044,-577.923517359
-577.7077100409504737,-577.7395976313347319,-577.7448425398393965,-577.9400338955719008,-577.9532850170356824,-577.9354280133583188,-577.8052027263,-577.7969054593,-577.7969054590,-577.92550316090501,-577.91400846194858,-577.91400846538056,-577.920195647,-577.938281689,-577.921088283
-577.7042819201979000,-577.7362713609599041,-577.7433188961217638,-577.9375058872980162,-577.9509356499162323,-577.9328431417334286,-577.8031347753,-577.7945481552,-577.7945481548,-577.92328422489322,-577.91157921705747,-577.91157922068942,-577.917413432,-577.935662014,-577.918677193
