c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.36585439,0.19804455,0.58552043,0.29824331,0.13781709,0.5639396,0.32041609,0.18024919,0.49933472,0.35279387,0.10337852,0.54382761,0.25944576,0.0760249,0.66452934
0.26317422,0.3503755,0.59619615,0.17651459,0.25963589,0.56384952,0.20026196,0.27647273,0.52326531,0.15688835,0.27808111,0.56503054,0.12650963,0.22423549,0.64925488
0.08640586,0.41712643,0.58337298,0.0607797,0.37461583,0.56460447,0.14053746,0.39515743,0.46430511,0.02119182,0.49387543,0.48493274,0.01430854,0.33346041,0.65223105
0.31370092,0.31366003,0.61027224,0.21387018,0.21383151,0.57229831,0.23095877,0.2309227,0.53811853,0.20733104,0.20727699,0.58539197,0.17288172,0.17283665,0.65428163
0.29069583,0.29068789,0.61450796,0.20659219,0.20658472,0.58682309,0.23211472,0.2321079,0.53577738,0.19732838,0.19731759,0.60535403,0.1545928,0.15458436,0.69082284
0.27043677,0.27080995,0.62419183,0.19819252,0.19854182,0.60326566,0.23271804,0.23302997,0.534252,0.18475653,0.18526678,0.62997669,0.13642506,0.13680183,0.72677311
0.25303077,0.25297079,0.63734538,0.18958859,0.18953279,0.62087862,0.23294814,0.23289917,0.53415269,0.17110641,0.17102529,0.6578683,0.11984505,0.11978823,0.76036672
0.23600131,0.23523966,0.65361574,0.18006832,0.17936456,0.64056712,0.23284971,0.23224201,0.53490828,0.15564031,0.15463733,0.68972237,0.10347764,0.10281081,0.79371155
0.21828157,0.21917058,0.67224486,0.16870626,0.16952163,0.66177211,0.23122557,0.23191982,0.53685461,0.13740777,0.13852929,0.72406294,0.08701099,0.08772117,0.82526784
0.20396349,0.20306825,0.69140845,0.15905079,0.15823625,0.68271296,0.23007051,0.22938372,0.54054577,0.1218267,0.1207596,0.75741371,0.07417067,0.073521,0.85230833
0.19025833,0.18974344,0.71015216,0.14888605,0.14842159,0.70269236,0.22726205,0.22687264,0.54586531,0.10621292,0.10563882,0.78814826,0.06278781,0.06244843,0.87476376
0.17753698,0.17738117,0.72860847,0.13902281,0.13888357,0.72209362,0.22385333,0.22373691,0.55240975,0.09182602,0.09166492,0.81650907,0.053076,0.05298288,0.89394113
0.1645844,0.16461422,0.74797603,0.12882375,0.12885014,0.74232611,0.2200888,0.22011083,0.55980037,0.07791687,0.07794511,0.84413802,0.04414218,0.04415818,0.91169965
0.1521178,0.15204736,0.76741288,0.11878373,0.11872211,0.76249416,0.21583626,0.21578481,0.56837893,0.06526435,0.06520393,0.86953172,0.0364303,0.03639657,0.92717314
0.14052215,0.14033168,0.78613498,0.10918311,0.10901853,0.78179836,0.2108851,0.21074733,0.57836757,0.05422864,0.05408174,0.89168962,0.03003505,0.02995368,0.94001126
0.13064564,0.13046776,0.80279446,0.10064958,0.10049796,0.79885246,0.20509174,0.20496409,0.58994417,0.04534265,0.04521926,0.90943809,0.02515335,0.0250849,0.94976175
0.12273571,0.12262347,0.81696489,0.0934219,0.09332766,0.81325045,0.19854047,0.19846045,0.60299908,0.0385212,0.03845078,0.92302803,0.02159621,0.02155673,0.95684705
