c1,c2
,
,
0.50028885,0.50007816
0.50014977,0.50029725
0.49992887,0.50067447
0.50031996,0.50065223
0.50053791,0.50102508
0.50112577,0.50115513
0.50142484,0.50153656
0.5018477,0.50174733
0.50212351,0.50215636
0.50267712,0.5024385
0.50325456,0.50291208
0.50369902,0.50376668
0.50451576,0.50455135
0.50556933,0.50549874
0.50678239,0.50677016
0.50828958,0.50829324
0.51008614,0.51009404
0.51218296,0.51220704
0.51466452,0.5146682
0.51763565,0.5176047
0.52122623,0.52121755
0.52565843,0.52563402
0.53098819,0.53100784
0.53727272,0.53713894
0.54404796,0.54402176
0.55117445,0.55118268
0.55837991,0.55837821
0.56547609,0.56547648
0.57239632,0.57239661
0.57910369,0.57910237
0.5855761,0.58557602
0.59182243,0.59182241
0.59781651,0.59781657
0.60356439,0.6035643
0.6090675,0.6090679
0.61430757,0.61431508
0.61933545,0.61934145
0.62414418,0.62415151
0.62875545,0.62874032
0.63314369,0.63314724
0.63736219,0.63736003
0.64139831,0.6413989
0.64526653,0.64526878
0.6489774,0.64897762
0.65254685,0.65253839
0.65596102,0.65594769
0.65923358,0.65923615
0.66238512,0.66238884
0.66540095,0.66541794
0.66830769,0.66829746
0.67107254,0.6710705
0.67371525,0.67371434
0.67623352,0.67623124
0.67861068,0.67862946
0.68087501,0.68088084
0.68299636,0.68301504
0.68500017,0.68500991
0.68687738,0.68687545
0.68860378,0.68864124
0.69025629,0.69023981
0.69176055,0.69175035
0.69316447,0.69313467
0.6944264,0.69444543
0.69562925,0.69561203
0.69670307,0.69671341
0.69772033,0.69769076
0.6986166,0.69861747
0.69945898,0.69944051
0.70020587,0.70021156
0.70089391,0.70090493
0.70151811,0.70153582
0.70208877,0.70210392
0.70261366,0.702611
0.70306645,0.70309164
0.70356543,0.70343667
0.70387099,0.70389261
0.70425835,0.70419193
0.7044894,0.7045795
0.70482016,0.70480517
0.70503051,0.70509488
0.70531731,0.70525728
0.70546228,0.70551507
0.70581166,0.70552655
0.70528834,0.70637286
0.70597107,0.70597905
0.70610049,0.70610771
0.70622211,0.70621649
0.70678605,0.70585785
0.70641349,0.70641364
0.70649155,0.70649843
0.99994319,0.00947691
0.00810332,0.99995863
0.99993037,0.01083412
0.7068128,0.70666604
0.00953429,0.99994763
0.00440291,0.99998777
0.9999807,0.00571153
0.00110727,0.99999885
0.00300463,0.99999428
0.001985,0.99999744
0.00124361,0.9999989
0.99999497,0.00295769
0.99999906,0.00118847
0.00167064,0.99999833
0.00185864,0.99999802
0.99999955,0.00082993
0.99999963,0.00076613
0.99999972,0.00065671
0.99999977,0.0006033
0.00080558,0.99999962
0.9999999,0.00039583
0.00062511,0.99999977
0.00045567,0.99999988
0.99999998,0.00016652
0.00015865,0.99999998
0.00017571,0.99999998
0.99999999,0.00012817
1.0,6.086e-05
5.014e-05,1.0
4.473e-05,1.0
4.068e-05,1.0
3.559e-05,1.0
2.973e-05,1.0
2.627e-05,1.0
2.196e-05,1.0
2.036e-05,1.0
1.762e-05,1.0
1.0,1.513e-05
1.0,1.19e-05
9.95e-06,1.0
8.83e-06,1.0
5.58e-06,1.0
6.46e-06,1.0
1.0,5.09e-06
1.0,3.85e-06
