Psi1,Psi2
-0.909023,0.133311
-0.888528,0.132858
-0.862555,0.132146
-0.834536,0.131199
-0.806294,0.130085
-0.77878,0.128911
-0.752467,0.127929
-0.727567,0.127372
-0.704145,0.126696
-0.682187,0.125813
-0.661635,0.124866
-0.642412,0.123781
-0.62443,0.122382
-0.607603,0.120482
-0.591843,0.117952
-0.57707,0.114737
-0.563208,0.110843
-0.550187,0.106312
-0.537943,0.101198
-0.526416,0.095556
-0.515553,0.08944
-0.505304,0.082906
-0.495625,0.076017
-0.486475,0.068839
-0.477816,0.061433
-0.469613,0.053862
-0.461837,0.046186
-0.454457,0.038461
-0.447447,0.030739
-0.440783,0.023067
-0.434442,0.015486
-0.428404,0.008028
-0.422651,0.000723
-0.417163,-0.00641
-0.411925,-0.013352
-0.406922,-0.020091
-0.40214,-0.02662
-0.397566,-0.032933
-0.393188,-0.039027
-0.388995,-0.044903
-0.384976,-0.050562
-0.381121,-0.056007
-0.377421,-0.061242
-0.373868,-0.066271
-0.370454,-0.071101
-0.367171,-0.075737
-0.364013,-0.080186
-0.360972,-0.084453
-0.358044,-0.088547
-0.355222,-0.092474
-0.352501,-0.09624
-0.349876,-0.099853
-0.347343,-0.103319
-0.344898,-0.106645
-0.342535,-0.109836
-0.340252,-0.112899
-0.338045,-0.115839
-0.33591,-0.11866
-0.333843,-0.121369
-0.331842,-0.123969
-0.329903,-0.126464
-0.328023,-0.128859
-0.3262,-0.131157
-0.324431,-0.133362
-0.322713,-0.135477
-0.321045,-0.137506
-0.319424,-0.139453
-0.317848,-0.141321
-0.316315,-0.143113
-0.314824,-0.144832
-0.313374,-0.146481
-0.311962,-0.148064
-0.310587,-0.149584
-0.309249,-0.151044
-0.307946,-0.152446
-0.306677,-0.153793
-0.305441,-0.155087
-0.304237,-0.156333
-0.303064,-0.15753
-0.301921,-0.158683
-0.300807,-0.159793
-0.299722,-0.160862
-0.298664,-0.161892
-0.297633,-0.162885
-0.296628,-0.163843
-0.295648,-0.164768
-0.294693,-0.165661
-0.293762,-0.166523
-0.292854,-0.167356
-0.291969,-0.168162
-0.291106,-0.168942
-0.290265,-0.169697
-0.289444,-0.170428
-0.288644,-0.171137
-0.287864,-0.171824
-0.287103,-0.17249
-0.28636,-0.173137
-0.285636,-0.173765
-0.284929,-0.174376
-0.28424,-0.174969
-0.283567,-0.175546
-0.282911,-0.176108
-0.28227,-0.176655
-0.281645,-0.177188
-0.281035,-0.177708
-0.280439,-0.178215
-0.279857,-0.17871
-0.27929,-0.179192
-0.278735,-0.179664
-0.278193,-0.180125
-0.277664,-0.180575
-0.277147,-0.181016
-0.276642,-0.181447
-0.276148,-0.18187
-0.275666,-0.182283
-0.275194,-0.182688
-0.274733,-0.183086
-0.274282,-0.183475
-0.273841,-0.183857
-0.273409,-0.184232
-0.272987,-0.1846
-0.272574,-0.184961
-0.272169,-0.185316
-0.271773,-0.185665
-0.271386,-0.186008
-0.271006,-0.186344
-0.270634,-0.186676
-0.270269,-0.187002
-0.269912,-0.187322
-0.269562,-0.187638
-0.269218,-0.187948
-0.268882,-0.188254
-0.268551,-0.188555
-0.268227,-0.188851
-0.267909,-0.189143
-0.267597,-0.189431
-0.267291,-0.189714
-0.26699,-0.189994
-0.266694,-0.190269
-0.266404,-0.19054
-0.266119,-0.190808
-0.265838,-0.191072
-0.265563,-0.191332
-0.265292,-0.191588
-0.265025,-0.191842
-0.264763,-0.192091
-0.264505,-0.192338
-0.264252,-0.192581
-0.264002,-0.192821
-0.263756,-0.193057
-0.263514,-0.193291
-0.263276,-0.193522
-0.263041,-0.193749
-0.26281,-0.193974
-0.262582,-0.194196
-0.262357,-0.194415
-0.262136,-0.194631
-0.261918,-0.194845
-0.261703,-0.195056
-0.261491,-0.195264
-0.261281,-0.19547
-0.261075,-0.195673
-0.260872,-0.195874
-0.260671,-0.196073
-0.260472,-0.196269
-0.260277,-0.196462
-0.260084,-0.196654
-0.259893,-0.196843
-0.259705,-0.19703
-0.259519,-0.197214
-0.259335,-0.197397
-0.259154,-0.197578
-0.258975,-0.197756
-0.258798,-0.197932
-0.258623,-0.198107
-0.25845,-0.198279
-0.25828,-0.198449
-0.258111,-0.198618
-0.257944,-0.198785
-0.257779,-0.198949
-0.257616,-0.199112
-0.257455,-0.199274
-0.257296,-0.199433
-0.257138,-0.199591
-0.256982,-0.199747
-0.256828,-0.199901
-0.256676,-0.200054
-0.256525,-0.200205
-0.256376,-0.200354
-0.256229,-0.200502
-0.256083,-0.200648
-0.255938,-0.200793
-0.255795,-0.200936
-0.255654,-0.201078
-0.255514,-0.201218
-0.255375,-0.201357
-0.255238,-0.201495
-0.255102,-0.201631
-0.254968,-0.201766
-0.254835,-0.201899
-0.254703,-0.20203
-0.254573,-0.202162
-0.254444,-0.202291
-0.254316,-0.202419
-0.25419,-0.202546
-0.254064,-0.202672
-0.25394,-0.202796
-0.253817,-0.20292
-0.253696,-0.203042
-0.253575,-0.203163
-0.253456,-0.203282
-0.253338,-0.203401
-0.25322,-0.203518
-0.253104,-0.203635
-0.252989,-0.20375
-0.252876,-0.203864
-0.252763,-0.203977
-0.252651,-0.20409
-0.25254,-0.204201
-0.25243,-0.204311
-0.252321,-0.20442
-0.252214,-0.204528
-0.252107,-0.204635
-0.252001,-0.204741
-0.251896,-0.204847
-0.251792,-0.204951
-0.251689,-0.205054
-0.251587,-0.205157
-0.251485,-0.205258
-0.251385,-0.205359
-0.251285,-0.205459
-0.251186,-0.205558
-0.251089,-0.205656
-0.250992,-0.205753
-0.250895,-0.20585
-0.2508,-0.205945
-0.250705,-0.20604
-0.250612,-0.206134
-0.250519,-0.206227
-0.250426,-0.20632
-0.250335,-0.206411
-0.250244,-0.206502
-0.250154,-0.206592
-0.250065,-0.206682
-0.249977,-0.20677
-0.249889,-0.206858
-0.249802,-0.206946
-0.249715,-0.207032
-0.24963,-0.207118
-0.249545,-0.207203
-0.24946,-0.207287
