VB overlap,CF overlap,ion overlap,cov overlap
,,,
,,,
0.537617,0.879519,0.999266,0.895579
0.440145,0.879775,0.999106,0.888865
0.641396,0.880027,0.998794,0.889028
0.397184,0.880245,0.998057,0.897032
0.454885,0.880446,0.996876,0.88969
0.499942,0.880619,0.995443,0.885014
0.533471,0.872101,0.994086,0.875027
0.561805,0.861647,0.992823,0.864101
0.584478,0.850466,0.991458,0.85223
0.599603,0.838573,0.989795,0.839504
0.608463,0.825993,0.987704,0.825918
0.613419,0.812664,0.985124,0.811374
0.617031,0.798631,0.981947,0.795768
0.618155,0.783895,0.977984,0.778835
0.616134,0.768445,0.973074,0.760641
0.609976,0.752314,0.9671,0.741089
0.599833,0.735453,0.960031,0.720195
0.586352,0.717943,0.951786,0.69802
0.570383,0.699747,0.942145,0.674689
0.552743,0.680917,0.930674,0.650389
0.534052,0.661471,0.916762,0.625314
0.514744,0.641482,0.899778,0.599717
0.495112,0.620922,0.879379,0.573841
0.475341,0.599919,0.855898,0.547912
0.455572,0.578561,0.830264,0.522119
0.435904,0.556787,0.803636,0.496644
0.416392,0.534804,0.776954,0.471613
0.397199,0.512646,0.75077,0.447125
0.378243,0.490401,0.725311,0.423257
0.359704,0.468178,0.700667,0.400082
0.341571,0.446066,0.676871,0.377657
0.323935,0.424175,0.653863,0.356035
0.306793,0.402557,0.631706,0.33525
0.290192,0.381356,0.610355,0.315343
0.274159,0.360608,0.589781,0.296303
0.258707,0.340415,0.570026,0.278173
0.243856,0.320832,0.550916,0.260936
0.229619,0.301921,0.532445,0.244572
0.216023,0.283719,0.514573,0.229098
0.203041,0.266266,0.49727,0.214455
0.190685,0.249592,0.48045,0.200639
0.178939,0.233689,0.464096,0.187638
0.16783,0.218591,0.448167,0.175409
0.157265,0.204281,0.432625,0.163888
0.147309,0.190741,0.417406,0.153066
0.137905,0.177982,0.402548,0.142915
0.128989,0.16596,0.387954,0.133396
0.120697,0.154648,0.37361,0.124478
0.112847,0.144028,0.359521,0.116124
0.105468,0.134087,0.345686,0.108304
0.098534,0.124771,0.332084,0.100985
0.092035,0.116056,0.318723,0.094142
0.085934,0.107917,0.30561,0.087752
0.080217,0.100318,0.292775,0.081779
0.074854,0.093225,0.280229,0.076181
0.069836,0.086607,0.26799,0.070966
0.065133,0.080447,0.256069,0.066094
0.060735,0.074704,0.244485,0.061548
0.056618,0.069361,0.233249,0.057304
0.052762,0.064388,0.222362,0.053341
0.04916,0.05976,0.21184,0.049643
0.045789,0.055457,0.201686,0.046195
0.042641,0.051458,0.1919,0.042974
0.039695,0.047735,0.182474,0.039978
0.036945,0.044277,0.173416,0.037176
0.034373,0.041067,0.164714,0.034567
0.031972,0.038081,0.156372,0.032131
0.029729,0.035309,0.148372,0.029859
0.027636,0.032737,0.140712,0.027742
0.025681,0.030345,0.133383,0.025771
0.023855,0.028125,0.126376,0.023929
0.022156,0.026064,0.119682,0.022216
0.020569,0.024152,0.113289,0.020617
0.019089,0.022378,0.107193,0.019128
0.017709,0.020732,0.101376,0.01774
0.016423,0.019204,0.095835,0.016449
0.015227,0.017785,0.090557,0.015247
0.01411,0.016473,0.085531,0.014128
